KOOD;LÜHINIMETUS;NIMETUS;PIKK_NIMETUS;VANEM_KOOD;HIERARHIA_ASTE;KEHTIVUSE_ALGUSE_KPV;KEHTIVUSE_LÕPU_KPV;VIIMANE_MUUDATUS_KPV;MUUTJA;STAATUS;SELGITUS
1;silmakontakt;silmakontakt;silmakontakt;;;1.01.2008;;;Sotsiaalministeerium;1;
2;reageerib vanemate häälele;reageerib vanemate häälele;reageerib vanemate häälele;;;1.01.2008;;;Sotsiaalministeerium;1;
3;peahoid;peahoid;peahoid;;;1.01.2008;;;Sotsiaalministeerium;1;
4;reageerib helile;reageerib helile;reageerib helile;;;1.01.2008;;;Sotsiaalministeerium;1;
5;fikseerib pilgu;fikseerib pilgu;fikseerib pilgu;;;1.01.2008;;;Sotsiaalministeerium;1;
6;jälgib liikuvat eset;jälgib liikuvat eset;jälgib liikuvat eset;;;1.01.2008;;;Sotsiaalministeerium;1;
7;tõstab kõhuliasendis pead;tõstab kõhuliasendis pead;tõstab kõhuliasendis pead;;;1.01.2008;;;Sotsiaalministeerium;1;
8;tuulab heli, koogab;tuulab heli, koogab;tuulab heli, koogab;;;1.01.2008;;;Sotsiaalministeerium;1;
9;liigutab sümmeetriliselt käsi ja jalgu;liigutab sümmeetriliselt käsi ja jalgu;liigutab sümmeetriliselt käsi ja jalgu;;;1.01.2008;;;Sotsiaalministeerium;1;
10;nutab pisaratega;nutab pisaratega;nutab pisaratega;;;1.01.2008;;;Sotsiaalministeerium;1;
11;emotsionaalne kontakt;emotsionaalne kontakt;emotsionaalne kontakt;;;1.01.2008;;;Sotsiaalministeerium;1;
12;tõstab kõhuliasendis kindlalt pead ja õlavõõdet, toetab küünarvartele;tõstab kõhuliasendis kindlalt pead ja õlavõõdet, toetab küünarvartele;tõstab kõhuliasendis kindlalt pead ja õlavõõdet, toetab küünarvartele;;;1.01.2008;;;Sotsiaalministeerium;1;
13;kätest vertikaalasendisse tõmbamisel hoiab pead;kätest vertikaalasendisse tõmbamisel hoiab pead;kätest vertikaalasendisse tõmbamisel hoiab pead;;;1.01.2008;;;Sotsiaalministeerium;1;
14;vastab kõnele häälitsemisega;vastab kõnele häälitsemisega;vastab kõnele häälitsemisega;;;1.01.2008;;;Sotsiaalministeerium;1;
15;liigutuste kehapoolte sümmeetrilisus;liigutuste kehapoolte sümmeetrilisus;liigutuste kehapoolte sümmeetrilisus;;;1.01.2008;;;Sotsiaalministeerium;1;
16;koogab;koogab;koogab;;;1.01.2008;;;Sotsiaalministeerium;1;
17;pöörab seljalt küljele;pöörab seljalt küljele;pöörab seljalt küljele;;;1.01.2008;;;Sotsiaalministeerium;1;
18;haarab mänguasja;haarab mänguasja;haarab mänguasja;;;1.01.2008;;;Sotsiaalministeerium;1;
19;kongenitaalsed refleksid kustunud;kongenitaalsed refleksid kustunud;kongenitaalsed refleksid kustunud;;;1.01.2008;;;Sotsiaalministeerium;1;
20;pöörab seljalt küljele;pöörab seljalt küljele;pöörab seljalt küljele;;;1.01.2008;;;Sotsiaalministeerium;1;
21;otsib heliallikat;otsib heliallikat;otsib heliallikat;;;1.01.2008;;;Sotsiaalministeerium;1;
22;pöörab seljalt kõhuli ja tagasi;pöörab seljalt kõhuli ja tagasi;pöörab seljalt kõhuli ja tagasi;;;1.01.2008;;;Sotsiaalministeerium;1;
23;paneb mänguasju ühest käest teise;paneb mänguasju ühest käest teise;paneb mänguasju ühest käest teise;;;1.01.2008;;;Sotsiaalministeerium;1;
24;laliseb silbikalt;laliseb silbikalt;laliseb silbikalt;;;1.01.2008;;;Sotsiaalministeerium;1;
25;sööb lustkast;sööb lustkast;sööb lustkast;;;1.01.2008;;;Sotsiaalministeerium;1;
