KOOD;LÜHINIMETUS;NIMETUS;PIKK_NIMETUS;VANEM_KOOD;HIERARHIA_ASTE;KEHTIVUSE_ALGUSE_KPV;KEHTIVUSE_LÕPU_KPV;VIIMANE_MUUDATUS_KPV;MUUTJA;STAATUS;SELGITUS
I01;koogab, kisab;koogab, kisab;koogab, kisab;;;1.01.2008;;;Sotsiaalministeerium;1;
I02;ei kooga, kisa jõuline;ei kooga, kisa jõuline;ei kooga, kisa jõuline;;;1.01.2008;;;Sotsiaalministeerium;1;
I03;kisa nõrk, vigisev;kisa nõrk, vigisev;kisa nõrk, vigisev;;;1.01.2008;;;Sotsiaalministeerium;1;
I04;lalin täishäälikutest;lalin täishäälikutest;lalin täishäälikutest;;;1.01.2008;;;Sotsiaalministeerium;1;
I05;koogab;koogab;koogab;;;1.01.2008;;;Sotsiaalministeerium;1;
I06;kisab;kisab;kisab;;;1.01.2008;;;Sotsiaalministeerium;1;
I07;laliseb palju;laliseb palju;laliseb palju;;;1.01.2008;;;Sotsiaalministeerium;1;
I08;laliseb vähe;laliseb vähe;laliseb vähe;;;1.01.2008;;;Sotsiaalministeerium;1;
I09;lalin puudub;lalin puudub;lalin puudub;;;1.01.2008;;;Sotsiaalministeerium;1;
I10;kasutab üksikuid tähendusega silpe;kasutab üksikuid tähendusega silpe;kasutab üksikuid tähendusega silpe;;;1.01.2008;;;Sotsiaalministeerium;1;
I11;sõnaline kõne;sõnaline kõne;sõnaline kõne;;;1.01.2008;;;Sotsiaalministeerium;1;
I12;kasutab fraasi (kahesõnaväljend);kasutab fraasi (kahesõnaväljend);kasutab fraasi (kahesõnaväljend);;;1.01.2008;;;Sotsiaalministeerium;1;
I13;kasutab ühesõnaväljendid;kasutab ühesõnaväljendid;kasutab ühesõnaväljendid;;;1.01.2008;;;Sotsiaalministeerium;1;
I14;kasutab fraasi 2- või 3-sõnalisi väljendeid;kasutab fraasi 2- või 3-sõnalisi väljendeid;kasutab fraasi 2- või 3-sõnalisi väljendeid;;;1.01.2008;;;Sotsiaalministeerium;1;
I15;kasutab ühesõnaväljendit;kasutab ühesõnaväljendit;kasutab ühesõnaväljendit;;;1.01.2008;;;Sotsiaalministeerium;1;
I16;sõnad puuduvad;sõnad puuduvad;sõnad puuduvad;;;1.01.2008;;;Sotsiaalministeerium;1;
I17;kasutab grammatiliselt õiget lauset, üksikud häälikuvead on lubatud;kasutab grammatiliselt õiget lauset, üksikud häälikuvead on lubatud;kasutab grammatiliselt õiget lauset, üksikud häälikuvead on lubatud;;;1.01.2008;;;Sotsiaalministeerium;1;
I18;kasutab lihtlauset;kasutab lihtlauset;kasutab lihtlauset;;;1.01.2008;;;Sotsiaalministeerium;1;
I19;kasutab üksikud sõnad;kasutab üksikud sõnad;kasutab üksikud sõnad;;;1.01.2008;;;Sotsiaalministeerium;1;
I20;ehholaalia kõnes kadunud;ehholaalia kõnes kadunud;ehholaalia kõnes kadunud;;;1.01.2008;;;Sotsiaalministeerium;1;
I21;esineb ehholaaliat;esineb ehholaaliat;esineb ehholaaliat;;;1.01.2008;;;Sotsiaalministeerium;1;
