Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
A;0;;valu ei ole;;0;1.01.2012;;;EKL,TA;1;
B;1;;nõrk valu;;0;1.01.2012;;;EKL,TA;1;
C;2;;nõrk valu;;0;1.01.2012;;;EKL,TA;1;
D;3;;nõrk valu;;0;1.01.2012;;;EKL,TA;1;
E;4;;keskmine valu;;0;1.01.2012;;;EKL,TA;1;
F;5;;keskmine valu;;0;1.01.2012;;;EKL,TA;1;
G;6;;keskmine valu;;0;1.01.2012;;;EKL,TA;1;
H;7;;tugev valu;;0;1.01.2012;;;EKL,TA;1;
I;8;;tugev valu;;0;1.01.2012;;;EKL,TA;1;
J;9;;väljakannatamatu valu;;0;1.01.2012;;;EKL,TA;1;
K;10;;väljakannatamatu valu;;0;1.01.2012;;;EKL,TA;1;
