Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHILD;laps;laps;laps;0;0;07.09.2007;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHILD1;laps (täielik isikuhooldusõigus);laps (täielik isikuhooldusõigus);laps (täielik isikuhooldusõigus);CHILD;1;13.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHILD2;laps (osaline isikuhooldusõigus);laps (osaline isikuhooldusõigus);laps (osaline isikuhooldusõigus);CHILD;1;13.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHILD3;laps (piiratud isikuhooldusõigus);laps (piiratud isikuhooldusõigus);laps (piiratud isikuhooldusõigus);CHILD;1;13.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHILD4;laps;laps (isikuhooldusõigus puudub);laps (isikuhooldusõigus puudub);CHILD;1;13.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHILD5;laps (täisealine);laps (täisealine);laps (täisealine);CHILD;1;12.12.2017;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PARENT;vanem;vanem;vanem;0;0;07.09.2007;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOTHER;ema;ema;ema;0;0;07.09.2007;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOTHER1;ema (täielik isikuhooldusõigus);ema (täielik isikuhooldusõigus);ema (täielik isikuhooldusõigus);MOTHER;1;13.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOTHER2;ema (osaline isikuhooldusõigus);ema (osaline isikuhooldusõigus);ema (osaline isikuhooldusõigus);MOTHER;1;13.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOTHER3;ema (piiratud isikuhooldusõigus);ema (piiratud isikuhooldusõigus);ema (piiratud isikuhooldusõigus);MOTHER;1;13.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOTHER4;ema;ema (isikuhooldusõigus puudub);ema (isikuhooldusõigus puudub);MOTHER;1;13.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MOTHER5;ema (laps täisealine);ema (laps täisealine);ema (laps täisealine);MOTHER;1;12.12.2017;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FATHER;isa;isa;isa;0;0;07.09.2007;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FATHER1;isa (täielik isikuhooldusõigus);isa (täielik isikuhooldusõigus);isa (täielik isikuhooldusõigus);FATHER;1;13.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FATHER2;isa (osaline isikuhooldusõigus);isa (osaline isikuhooldusõigus);isa (osaline isikuhooldusõigus);FATHER;1;13.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FATHER3;isa (piiratud isikuhooldusõigus);isa (piiratud isikuhooldusõigus);isa (piiratud isikuhooldusõigus);FATHER;1;13.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FATHER4;isa;isa (isikuhooldusõigus puudub);isa (isikuhooldusõigus puudub);FATHER;1;13.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FATHER5;isa (laps täisealine);isa (laps täisealine);isa (laps täisealine);FATHER;1;12.12.2017;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BROTHER5;vend (täisealine);vend (täisealine);vend (täisealine);0;0;12.12.2017;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STEPBROTHER5;poolvend (täisealine);poolvend (täisealine);poolvend (täisealine);0;0;12.12.2017;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SISTER5;õde (täisealine);õde (täisealine);õde (täisealine);0;0;12.12.2017;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STEPSISTER5;poolõde (täisealine);poolõde (täisealine);poolõde (täisealine);0;0;12.12.2017;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPS;abikaasa;abikaasa;abikaasa;0;0;07.09.2007;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUST;usaldusalune;usaldusalune;usaldusalune;0;0;07.09.2007;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUST1;usaldusalune (vaatamisõiguslik);usaldusalune (vaatamisõiguslik);usaldusalune (vaatamisõiguslik);TRUST;1;07.09.2007;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUST2;usaldusalune (täieõiguslik);usaldusalune (täieõiguslik);usaldusalune (täieõiguslik);TRUST;1;07.09.2007;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUST3;usaldusalune (retsepti ostuõigusega);usaldusalune (retsepti ostuõigusega);usaldusalune (retsepti ostuõigusega);TRUST;1;04.07.2008;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUST4;usaldusalune (surma andmete vaatamisõiguslik);usaldusalune (surma andmete vaatamisõiguslik);usaldusalune (surma andmete vaatamisõiguslik);TRUST;1;12.12.2017;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUSTEE;usaldusisik;usaldusisik;usaldusisik;0;0;07.09.2007;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUSTEE1;vaatamisõiguslik usaldusisik;vaatamisõiguslik usaldusisik;vaatamisõiguslik usaldusisik;TRUSTEE;1;07.09.2007;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUSTEE2;täieõiguslik usaldusisik;täieõiguslik usaldusisik;täieõiguslik usaldusisik;TRUSTEE;1;07.09.2007;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUSTEE3;retsepti ostuõigusega usaldusisik;retsepti ostuõigusega usaldusisik;retsepti ostuõigusega usaldusisik;TRUSTEE;1;04.07.2008;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUSTEE4;surma andmete vaatamisõhiguslik usaldusisik;surma andmete vaatamisõhiguslik usaldusisik;surma andmete vaatamisõhiguslik usaldusisik;TRUSTEE;1;12.12.2017;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRD;eestkoste alune;eestkoste alune;eestkoste alune;0;0;07.09.2007;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRD1;eestkoste alune (täielik isikuhooldusõigus);eestkoste alune (täielik isikuhooldusõigus);eestkoste alune (täielik isikuhooldusõigus);GRD;1;25.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRD2;eestkoste alune (osaline isikuhooldusõigus);eestkoste alune (osaline isikuhooldusõigus);eestkoste alune (osaline isikuhooldusõigus);GRD;1;25.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRD3;eestkoste alune (piiratud isikuhooldusõigus);eestkoste alune (piiratud isikuhooldusõigus);eestkoste alune (piiratud isikuhooldusõigus);GRD;1;25.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRD4;eestkoste alune;eestkoste alune  - täisealine isik ja täielikud isikuhooldusõigused;eestkoste alune - täisealine isik ja täielikud isikuhooldusõigused;GRD;1;25.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARDIAN;eestkostja;eestkostja;eestkostja;0;0;07.09.2007;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARDIAN1;eestkostja (täielik isikuhooldusõigus);eestkostja (täielik isikuhooldusõigus);eestkostja (täielik isikuhooldusõigus);GUARDIAN;1;25.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARDIAN2;eestkostja (osaline isikuhooldusõigus);eestkostja (osaline isikuhooldusõigus);eestkostja (osaline isikuhooldusõigus);GUARDIAN;1;25.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARDIAN3;eestkostja (piiratud isikuhooldusõigus);eestkostja (piiratud isikuhooldusõigus);eestkostja (piiratud isikuhooldusõigus);GUARDIAN;1;25.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUARDIAN4;eestkostja;eestkostja eestkostetav on täisealine isik täielike isikuhooldusõigustega;eestkostja eestkostetav on täisealine isik täielike isikuhooldusõigustega;GUARDIAN;1;25.02.2014;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BFATHER;bioloogiline isa;bioloogiline isa;bioloogiline isa;0;0;25.03.2009;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNK;RR-st saadud tundmatu seose tüübi nimetus;;;0;0;30.06.2010;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEATH_REPRESENTATIVE;esindaja (vaatamisõiguslik peale surma);esindaja (vaatamisõiguslik peale surma);esindaja (vaatamisõiguslik peale surma);0;0;12.12.2017;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEATH_REPRESENTATIVE_NULLIFIED ;õigused puuduvad peale surma;õigused puuduvad peale surma;õigused puuduvad peale surma;0;0;12.12.2017;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
