Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
01;;Kõhukinnisus;;;0;16.05.2019;;;1;
02;;Kõhulahtisus;;;0;16.05.2019;;;1;
03;;Kõrvetised;;;0;16.05.2019;;;1;
04;;Oksendamine;;;0;16.05.2019;;;1;
05;;Täielik kontroll sooletegevuse üle;;;0;16.05.2019;;;1;
06;;Soolepidamatus;;;0;16.05.2019;;;1;
07;;Soolepidamatust esineb kord nädalas või harvemini;;06;1;16.05.2019;;;1;
08;;Soolepidamatust esineb 2 või enam korda nädalas;;06;1;16.05.2019;;;1;
09;;Igapäevane soolepidamatus mõningase kontrolliga;;06;1;16.05.2019;;;1;
10;;Täielik soolepidamatus;;06;1;16.05.2019;;;1;
11;;Probleeme ei esine;;;0;16.05.2019;;;1;
