Kood;Lühinimetus;Nimetus;Pikk_nimetus (SNOMED CT FSN);Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
69536005;PE;Peapiirkond;Head structure (body structure);;;12.12.2018;;;Eesti Radioloogia Ühing;1;
421060004;LS;Lülisamba piirkond;Structure of vertebral column (body structure);;;12.12.2018;;;Eesti Radioloogia Ühing;1;
53120007;UJ;Ülajäseme piirkond;Upper limb structure (body structure);;;12.12.2018;;;Eesti Radioloogia Ühing;1;
51185008;RK;Rindkere piirkond;Thoracic structure (body structure);;;12.12.2018;;;Eesti Radioloogia Ühing;1;
61685007;AJ;Alajäseme piirkond;Lower limb structure (body structure);;;12.12.2018;;;Eesti Radioloogia Ühing;1;
278001007;MT;Muu/täpsustamata piirkond;Nonspecific site (body structure);;;12.12.2018;;;Eesti Radioloogia Ühing;1;
45048000;KA;Kaelapiirkond;Neck structure (body structure);;;12.12.2018;;;Eesti Radioloogia Ühing;1;
416949008;KV;Kõhu- ja vaagnapiirkond;Abdomen and/or pelvis structure (body structure);;;12.12.2018;11.09.2019;;Eesti Radioloogia Ühing;0;Tunnistatud kehtetuks, seda asendab 113345001 Abdominopelvic structure (body structure)
116007004;KN;Kombineeritud piirkonnad;Combined site (body structure);;;12.12.2018;;;Eesti Radioloogia Ühing;1;
774007;PK;Pea- ja kaelapiirkond;Structure of head and/or neck (body structure);;;12.12.2018;;;Eesti Radioloogia Ühing;1;
737561001;LA;Lülisamba ja seljaaju piirkond;Structure of vertebral column and/or spinal cord (body structure);;;12.12.2018;;;Eesti Radioloogia Ühing;1;
113345001;KV;Kõhu- ja vaagnapiirkond;Abdominopelvic structure (body structure);;;11.09.2019;06.04.2020;;Eesti Radioloogia Ühing;0;Tunnistatud kehtetuks, seda asendab 818983003 Structure of abdominopelvic cavity and/or content of abdominopelvic cavity and/or anterior abdominal wall (body structure)
818983003;KV;Kõhu- ja vaagnapiirkond;Structure of abdominopelvic cavity and/or content of abdominopelvic cavity and/or anterior abdominal wall (body structure);;;06.04.2020;;;Eesti Radioloogia Ühing;1;Asendab kehtetuks tunnistatud väärtust 113345001 Abdominopelvic structure (body structure)
