Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;;;
A;ei hospitaliseeritud;ei hospitaliseeritud;ei hospitaliseeritud;;0;01.01.2012;;;EKL,TA;1;;;;
A1;hospitaliseerimine ei olnud vajalik;hospitaliseerimine ei olnud vajalik;hospitaliseerimine ei olnud vajalik;A;1;01.01.2012;;;EKL,TA;1;;;;
A2;keeldus hospitaliseerimisest;keeldus hospitaliseerimisest;keeldus hospitaliseerimisest;A;1;01.01.2012;;;EKL,TA;1;;;;
A3;viidi koju;viidi koju;viidi koju;A;1;01.01.2012;;;EKL,TA;1;;;;
A4;viidi mujale kui koju (täpsustus);viidi mujale kui koju (täpsustus);viidi mujale kui koju (täpsustus);A;1;01.01.2012;;;EKL,TA;1;;;;
B;hospitaliseeriti;hospitaliseeriti;hospitaliseeriti;;0;01.01.2012;;;EKL,TA;1;;;;
C;anti üle ;anti üle ;anti üle ;;0;01.01.2012;;;EKL,TA;1;;;;
C1;teisele kiirabibrigaadile;teisele kiirabibrigaadile;teisele kiirabibrigaadile;C;1;01.01.2012;;;EKL,TA;1;;;;
C2;politseile;politseile;politseile;C;1;01.01.2012;;;EKL,TA;1;;;;
C3;kellelegi teisele (täpsustus koos nimega nt vanaema Maie Tamm);kellelegi teisele (täpsustus koos nimega nt vanaema Maie Tamm);kellelegi teisele (täpsustus koos nimega nt vanaema Maie Tamm);C;1;01.01.2012;;;EKL,TA;1;;;;
D;patsienti ei olnud;patsienti ei olnud;patsienti ei olnud;;0;01.01.2012;;;EKL,TA;1;;;;
D1;sõit annulleeriti;sõit annulleeriti;sõit annulleeriti;D;1;01.01.2012;;;EKL,TA;1;;;;
D2;patsienti ei leitud;patsienti ei leitud;patsienti ei leitud;D;1;01.01.2012;;;EKL,TA;1;;;;
D3;patsiente ei ole;patsiente ei ole;patsiente ei ole;D;1;01.01.2012;;;EKL,TA;1;;;;
D4;muu (täpsustus);muu (täpsustus);muu (täpsustus);D;1;01.01.2012;;;EKL,TA;1;;;;
E;surnud;surnud;surnud;;0;01.01.2012;;;EKL,TA;1;;;;
E1;patsient oli surnud;patsient oli surnud;patsient oli surnud;E;1;01.01.2012;;;EKL,TA;1;;;;
E2;patsient suri;patsient suri;patsient suri;E;1;01.01.2012;;;EKL,TA;1;;;;
F;patsient keeldus ravist või hospitaliseerimisest;patsient keeldus ravist või hospitaliseerimisest;patsient keeldus ravist või hospitaliseerimisest;;0;01.01.2012;;;EKL,TA;1;;;;
G;patsient oma transpordiga haiglasse;patsient oma transpordiga haiglasse;patsient oma transpordiga haiglasse;;0;18.11.2020;;;EKL,TA;1;;;;
