Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;;
A00;Koolera;Koolera;Koolera;;0;01.01.2011;;;Terviseamet;1;;;
A00.0;Vibrio cholerae 01, biovar cholerae koolera  ;Vibrio cholerae 01, biovar cholerae koolera  ;Vibrio cholerae 01, biovar cholerae koolera  ;0;1;01.01.2011;;;Terviseamet;1;;;
A00.1;Vibrio cholerae 01, biovar El Tor'i koolera  ;Vibrio cholerae 01, biovar El Tor'i koolera  ;Vibrio cholerae 01, biovar El Tor'i koolera  ;0;1;01.01.2011;;;Terviseamet;1;;;
A00.9;Täpsustamata koolera ;Täpsustamata koolera ;Täpsustamata koolera ;0;1;01.01.2011;;;Terviseamet;1;;;
A01.0;"Kõhutüüfus; Salmonella typhi nakkus";"Kõhutüüfus; Salmonella typhi nakkus";"Kõhutüüfus; Salmonella typhi nakkus";0;1;01.01.2011;;;Terviseamet;1;;;
A01.1;Paratüüfus A;Paratüüfus A;Paratüüfus A;0;1;01.01.2011;;;Terviseamet;1;;;
A01.2;Paratüüfus B;Paratüüfus B;Paratüüfus B;0;1;01.01.2011;;;Terviseamet;1;;;
A01.3;Paratüüfus C;Paratüüfus C;Paratüüfus C;0;1;01.01.2011;;;Terviseamet;1;;;
A01.4;"Täpsustamata paratüüfus; Teisiti täpsustamata Salmonella paratyphi nakkus";"Täpsustamata paratüüfus; Teisiti täpsustamata Salmonella paratyphi nakkus";"Täpsustamata paratüüfus; Teisiti täpsustamata Salmonella paratyphi nakkus";0;1;01.01.2011;;;Terviseamet;1;;;
A02;Muud salmonellanakkused e salmonelloosid;Muud salmonellanakkused e salmonelloosid;Muud salmonellanakkused e salmonelloosid;;0;01.01.2011;;;Terviseamet;1;;;
A02.0;Salmonellaenteriit  ;Salmonellaenteriit  ;Salmonellaenteriit  ;0;1;01.01.2011;;;Terviseamet;1;;;
A02.1;Salmonellaseptitseemia  ;Salmonellaseptitseemia  ;Salmonellaseptitseemia  ;0;1;01.01.2011;;;Terviseamet;1;;;
A02.2;Lokaliseerunud salmonellanakkused  ;Lokaliseerunud salmonellanakkused  ;Lokaliseerunud salmonellanakkused  ;0;1;01.01.2011;;;Terviseamet;1;;;
A02.8;Muud täpsustatud salmonellanakkused  ;Muud täpsustatud salmonellanakkused  ;Muud täpsustatud salmonellanakkused  ;0;1;01.01.2011;;;Terviseamet;1;;;
A02.9;Täpsustamata salmonellanakkused ;Täpsustamata salmonellanakkused ;Täpsustamata salmonellanakkused ;0;1;01.01.2011;;;Terviseamet;1;;;
A03;Šigelloos;Šigelloos;Šigelloos;;0;01.01.2011;;;Terviseamet;1;;;
A03.0;Shigella dysenteriae šigelloos ;Shigella dysenteriae šigelloos ;Shigella dysenteriae šigelloos ;0;1;01.01.2011;;14.07.2016;Terviseamet;1;Viidud eritähtedega nimetused kooskõlla ametliku RKH-10 loendiga;;
A03.1;Shigella flexneri šigelloos  ;Shigella flexneri šigelloos  ;Shigella flexneri šigelloos  ;0;1;01.01.2011;;14.07.2016;Terviseamet;1;Viidud eritähtedega nimetused kooskõlla ametliku RKH-10 loendiga;;
A03.2;Shigella boydii šigelloos  ;Shigella boydii šigelloos  ;Shigella boydii šigelloos  ;0;1;01.01.2011;;14.07.2016;Terviseamet;1;Viidud eritähtedega nimetused kooskõlla ametliku RKH-10 loendiga;;
A03.3;Shigella sonnei šigelloos  ;Shigella sonnei šigelloos  ;Shigella sonnei šigelloos  ;0;1;01.01.2011;;14.07.2016;Terviseamet;1;Viidud eritähtedega nimetused kooskõlla ametliku RKH-10 loendiga;;
