Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;Grupi kood;Grupp;
allergy;allergia;allergia;allergia;0;0;01.01.2013;;;;1;;1;väljavõte;
ambVisit_v1;ambulatoorne visiit_v1 päringu vastuses;ambulatoorne visiit_v1 päringu vastuses;ambulatoorne visiit_v1 päringu vastuses;0;0;01.01.2013;;;;1;;1;väljavõte;
ambVisit_v2;ambulatoorne visiit_v2 päringu vastuses;ambulatoorne visiit_v2 päringu vastuses;ambulatoorne visiit_v2 päringu vastuses;0;0;01.01.2013;;;;1;;1;väljavõte;
analysis_bloodAnalysis;tervisekontrollikaardi kliinilise vereanalüüsi väljavõte;tervisekontrollikaardi kliinilise vereanalüüsi väljavõte;tervisekontrollikaardi kliinilise vereanalüüsi väljavõte;0;0;01.01.2013;;;;1;;1;väljavõte;
analysis_bloodPressure;tervisekontrollikaardi vererõhu analüüsi väljavõte;tervisekontrollikaardi vererõhu analüüsi väljavõte;tervisekontrollikaardi vererõhu analüüsi väljavõte;0;0;01.01.2013;;;;1;;1;väljavõte;
analysis_v1;analüüsid_v1 päringu vastuses;analüüsid_v1 päringu vastuses;analüüsid_v1 päringu vastuses;0;0;01.01.2013;;;;1;;1;väljavõte;
analysis_vision;nägemisteravuse kontroll;nägemisteravuse kontroll;nägemisteravuse kontroll;0;0;01.01.2013;;;;1;;1;väljavõte;
anamnesis;anamnees;anamnees;anamnees;0;0;01.01.2013;;;;1;;1;väljavõte;
appointment;broneeringu lisamine või muutmine;broneeringu lisamine või muutmine;broneeringu lisamine või muutmine;0;0;22.11.2013;;;;1;;4;toimingu logi;
author_v1;autor_v1 päringu vastuses;autor_v1 päringu vastuses;autor_v1 päringu vastuses;0;0;01.01.2013;;;;1;;1;väljavõte;
blood;veregrupp ja Rh faktor;veregrupp ja Rh faktor;veregrupp ja Rh faktor;0;0;07.09.2007;;;;1;;1;väljavõte;
case;haigusjuhtumid;haigusjuhtumid;haigusjuhtumid;0;0;07.09.2007;;;;1;;1;väljavõte;
case;haigusjuhtumite päring;haigusjuhtumite päring;haigusjuhtumite päring;0;0;07.09.2007;;;;1;;3;päringu logi;
case_change;haigusjuhtumi muutmine;haigusjuhtumi muutmine;haigusjuhtumi muutmine;0;0;30.06.2008;;;;1;;4;toimingu logi;
case_end;haigusjuhtumi lõpetamine;haigusjuhtumi lõpetamine;haigusjuhtumi lõpetamine;0;0;30.06.2008;;;;1;;4;toimingu logi;
case_nullified;haigusjuhtumi tühistamine;haigusjuhtumi tühistamine;haigusjuhtumi tühistamine;0;0;30.06.2008;;;;1;;4;toimingu logi;
case_start;haigusjuhtumi avamine;haigusjuhtumi avamine;haigusjuhtumi avamine;0;0;30.06.2008;;;;1;;4;toimingu logi;
cda_change;muutunud dokumendid;muutunud dokumendid;muutunud dokumendid;0;0;07.09.2007;07.09.2007;;;0;;;;
cda_patientList_change;perearsti patsientide muutunud dokumendid;perearsti patsientide muutunud dokumendid;perearsti patsientide muutunud dokumendid;0;0;07.09.2007;07.09.2007;;;0;;;;
cda_patientList_new;perearsti patsientide uued dokumendid;perearsti patsientide uued dokumendid;perearsti patsientide uued dokumendid;0;0;07.09.2007;07.09.2007;;;0;;;;
chronic_diseases;kroonilised haigused;kroonilised haigused;kroonilised haigused;0;0;07.09.2007;;;;1;;1;väljavõte;
clinical_document;tervikdokumendi päring;tervikdokumendi päring;tervikdokumendi päring;0;0;07.09.2007;;;;1;;3;päringu logi;
