ebMEDsi loendis olev kood;RHK-10 eestikeelne nimetus
;
A15;Bakterioloogiliselt ja histoloogiliselt kinnitatud hingamiselundite tuberkuloos
A16;Bakterioloogiliselt või histoloogiliselt kinnitamata hingamiselundite tuberkuloos
A17;Närvisüsteemi tuberkuloos
A18;Muude elundite tuberkuloos
A19;Miliaartuberkuloos
A21;Tulareemia
A23;Brutselloos
A27;Leptospiroos
A30;Leepra e pidalitõbi [Hanseni tõbi]
A31;Muud mükobakternakkused [mükobakterioosid]
A32;Listerioos
A36;Difteeria e kurgutõbi
A39;Meningokokkinfektsioon e –nakkus
A40;Streptokokkseptitseemia
A41;Muu septitseemia
A42;Aktinomükoos
A43;Nokardioos
A44;Bartonelloos
A50;Kaasasündinud süüfilis
A51;Varane süüfilis
A52;Hiline süüfilis
A53;Muu ja täpsustamata süüfilis
A60;Anogenitaalsed herpesviirusnakkused [herpes simplex]
A65;Mittesuguliselt leviv süüfilis
A66;Framböösia e vaariktüügas
A67;Pinta [karaate]
A68;Taastuvad palavikud
A69;Muud spiroheetnakkused
A71;Trahhoom
A75;Tähniline tüüfus e täi- ja kirburiketsioos
A77;Eksanteem- e tähnilised palavikud e puukriketsioosid
A78;Q-palavik
A79;Muud riketsioosid
A80;Äge poliomüeliit
A81;Kesknärvisüsteemi aeglased viirusnakkused
A82;Marutõbi
A83;Sääselevitatavad viirusentsefaliidid
A84;Puukentsefaliidid (viirusentsefaliidid)
A85;Mujal klassifitseerimata muud viirusentsefaliidid
A86;Täpsustamata viirusentsefaliit
A87;Viirusmeningiidid
A89;Kesknärvisüsteemi täpsustamata viirushaigus
A90;Klassikaline dengue e seitsmendapäevitine palavik
A91;Hemorraagiline dengue palavik
A92;Sääselevitatavad muud viiruspalavikud
A93;Lülijalgselevitatavad mujal klassifitseerimata muud viiruspalavikud
A94;Lülijalgselevitatav täpsustamata viiruspalavik
A95;Kollapalavik
A96;Hemorraagiline areenaviiruspalavik
A98;Mujal klassifitseerimata muud hemorraagilised viiruspalavikud
B00.4;Herpesviirusentsefaliit
B01.0;Tuulerõugemeningiit
B02.2;Närvisüsteemi muud kahjustused vöötohatise korral
B05.0;Entsefaliidiga tüsistunud leetrid
B05.1;Meningiidiga tüsistunud leetrid
B06;Punetised
B16;Äge B-viirushepatiit
B17.0;B-hepatiidi viiruskandja äge delta-(super)infektsioon
B17.1;Äge C-hepatiit
B17.2;Äge E-hepatiit
B18;Krooniline viirushepatiit
B20;Nakkus- või parasiithaigusena avalduv HIV-tõbi
B21;Pahaloomuliste kasvajatena avalduv HIV-tõbi
B22;Muude täpsustatud haigustena avalduv HIV-tõbi
