Vanus (kuudes);Norm;Sugu;Graafik (vanus);Graafik (tyyp);Tsentiil
0;2,6;P;alla 2a;mass;3
1;3,5;P;alla 2a;mass;3
2;4,3;P;alla 2a;mass;3
3;4,9;P;alla 2a;mass;3
4;5,6;P;alla 2a;mass;3
5;6,2;P;alla 2a;mass;3
6;6,7;P;alla 2a;mass;3
7;7,1;P;alla 2a;mass;3
8;7,5;P;alla 2a;mass;3
9;7,9;P;alla 2a;mass;3
10;8,2;P;alla 2a;mass;3
11;8,5;P;alla 2a;mass;3
12;8,8;P;alla 2a;mass;3
13;9;P;alla 2a;mass;3
14;9,2;P;alla 2a;mass;3
15;9,4;P;alla 2a;mass;3
16;9,6;P;alla 2a;mass;3
17;9,8;P;alla 2a;mass;3
18;9,9;P;alla 2a;mass;3
19;10,1;P;alla 2a;mass;3
20;10,2;P;alla 2a;mass;3
21;10,4;P;alla 2a;mass;3
22;10,5;P;alla 2a;mass;3
23;10,7;P;alla 2a;mass;3
24;10,8;P;alla 2a;mass;3
0;3;P;alla 2a;mass;10
1;3,9;P;alla 2a;mass;10
2;4,8;P;alla 2a;mass;10
3;5,4;P;alla 2a;mass;10
4;6;P;alla 2a;mass;10
5;6,8;P;alla 2a;mass;10
6;7,25;P;alla 2a;mass;10
7;7,6;P;alla 2a;mass;10
8;8,1;P;alla 2a;mass;10
9;8,5;P;alla 2a;mass;10
10;8,8;P;alla 2a;mass;10
11;9,1;P;alla 2a;mass;10
12;9,3;P;alla 2a;mass;10
13;9,5;P;alla 2a;mass;10
14;9,7;P;alla 2a;mass;10
15;9,9;P;alla 2a;mass;10
16;10,1;P;alla 2a;mass;10
17;10,3;P;alla 2a;mass;10
18;10,5;P;alla 2a;mass;10
19;10,6;P;alla 2a;mass;10
20;10,8;P;alla 2a;mass;10
21;11;P;alla 2a;mass;10
22;11,15;P;alla 2a;mass;10
23;11,25;P;alla 2a;mass;10
24;11,45;P;alla 2a;mass;10
0;3,4;P;alla 2a;mass;25
1;4,3;P;alla 2a;mass;25
2;5,1;P;alla 2a;mass;25
3;5,9;P;alla 2a;mass;25
4;6,6;P;alla 2a;mass;25
5;7,2;P;alla 2a;mass;25
6;7,8;P;alla 2a;mass;25
7;8,3;P;alla 2a;mass;25
8;8,7;P;alla 2a;mass;25
9;9,1;P;alla 2a;mass;25
10;9,4;P;alla 2a;mass;25
11;9,7;P;alla 2a;mass;25
12;9,9;P;alla 2a;mass;25
13;10,2;P;alla 2a;mass;25
14;10,35;P;alla 2a;mass;25
15;10,6;P;alla 2a;mass;25
16;10,9;P;alla 2a;mass;25
17;11,1;P;alla 2a;mass;25
18;11,3;P;alla 2a;mass;25
19;11,5;P;alla 2a;mass;25
20;11,7;P;alla 2a;mass;25
21;11,9;P;alla 2a;mass;25
22;12;P;alla 2a;mass;25
23;12,2;P;alla 2a;mass;25
24;12,4;P;alla 2a;mass;25
0;3,7;P;alla 2a;mass;50
1;4,7;P;alla 2a;mass;50
2;5,5;P;alla 2a;mass;50
3;6,3;P;alla 2a;mass;50
4;7;P;alla 2a;mass;50
5;7,8;P;alla 2a;mass;50
6;8,4;P;alla 2a;mass;50
7;8,9;P;alla 2a;mass;50
8;9,4;P;alla 2a;mass;50
9;9,8;P;alla 2a;mass;50
10;10,1;P;alla 2a;mass;50
11;10,4;P;alla 2a;mass;50
12;10,6;P;alla 2a;mass;50
13;10,9;P;alla 2a;mass;50
14;11,1;P;alla 2a;mass;50
15;11,4;P;alla 2a;mass;50
16;11,7;P;alla 2a;mass;50
17;11,9;P;alla 2a;mass;50
18;12,1;P;alla 2a;mass;50
19;12,4;P;alla 2a;mass;50
20;12,6;P;alla 2a;mass;50
21;12,8;P;alla 2a;mass;50
22;13;P;alla 2a;mass;50
23;13,1;P;alla 2a;mass;50
24;13,4;P;alla 2a;mass;50
0;4;P;alla 2a;mass;75
1;5;P;alla 2a;mass;75
2;5,9;P;alla 2a;mass;75
3;6,85;P;alla 2a;mass;75
4;7,55;P;alla 2a;mass;75
5;8,4;P;alla 2a;mass;75
6;8,9;P;alla 2a;mass;75
7;9,5;P;alla 2a;mass;75
8;9,9;P;alla 2a;mass;75
9;10,3;P;alla 2a;mass;75
10;10,8;P;alla 2a;mass;75
11;11,1;P;alla 2a;mass;75
12;11,4;P;alla 2a;mass;75
13;11,8;P;alla 2a;mass;75
14;12;P;alla 2a;mass;75
15;12,3;P;alla 2a;mass;75
16;12,5;P;alla 2a;mass;75
17;12,7;P;alla 2a;mass;75
18;12,9;P;alla 2a;mass;75
19;13,1;P;alla 2a;mass;75
20;13,4;P;alla 2a;mass;75
21;13,6;P;alla 2a;mass;75
22;13,8;P;alla 2a;mass;75
23;14,1;P;alla 2a;mass;75
24;14,4;P;alla 2a;mass;75
0;4,45;P;alla 2a;mass;90
1;5,4;P;alla 2a;mass;90
2;6,3;P;alla 2a;mass;90
3;7,3;P;alla 2a;mass;90
4;8,1;P;alla 2a;mass;90
5;8,9;P;alla 2a;mass;90
6;9,6;P;alla 2a;mass;90
7;10,1;P;alla 2a;mass;90
8;10,7;P;alla 2a;mass;90
9;11,1;P;alla 2a;mass;90
10;11,5;P;alla 2a;mass;90
11;11,9;P;alla 2a;mass;90
12;12,2;P;alla 2a;mass;90
13;12,6;P;alla 2a;mass;90
14;12,9;P;alla 2a;mass;90
15;13,1;P;alla 2a;mass;90
16;13,4;P;alla 2a;mass;90
17;13,7;P;alla 2a;mass;90
18;13,9;P;alla 2a;mass;90
19;14,1;P;alla 2a;mass;90
20;14,4;P;alla 2a;mass;90
21;14,6;P;alla 2a;mass;90
22;14,8;P;alla 2a;mass;90
23;15;P;alla 2a;mass;90
24;15,2;P;alla 2a;mass;90
0;4,8;P;alla 2a;mass;97
1;5,8;P;alla 2a;mass;97
2;6,9;P;alla 2a;mass;97
3;7,9;P;alla 2a;mass;97
4;8,8;P;alla 2a;mass;97
5;9,6;P;alla 2a;mass;97
6;10,2;P;alla 2a;mass;97
7;10,9;P;alla 2a;mass;97
8;11,5;P;alla 2a;mass;97
9;11,9;P;alla 2a;mass;97
10;12,35;P;alla 2a;mass;97
11;12,75;P;alla 2a;mass;97
12;13;P;alla 2a;mass;97
13;13,4;P;alla 2a;mass;97
14;13,7;P;alla 2a;mass;97
15;14;P;alla 2a;mass;97
16;14,2;P;alla 2a;mass;97
17;14,5;P;alla 2a;mass;97
18;14,75;P;alla 2a;mass;97
19;14,95;P;alla 2a;mass;97
20;15,15;P;alla 2a;mass;97
21;15,4;P;alla 2a;mass;97
22;15,7;P;alla 2a;mass;97
23;15,9;P;alla 2a;mass;97
24;16,2;P;alla 2a;mass;97
0;48;P;alla 2a;pikkus;3
1;51;P;alla 2a;pikkus;3
2;53,8;P;alla 2a;pikkus;3
3;56,8;P;alla 2a;pikkus;3
4;59,1;P;alla 2a;pikkus;3
5;61,15;P;alla 2a;pikkus;3
6;63,69;P;alla 2a;pikkus;3
7;65,1;P;alla 2a;pikkus;3
8;66,8;P;alla 2a;pikkus;3
9;68;P;alla 2a;pikkus;3
10;69;P;alla 2a;pikkus;3
11;70,3;P;alla 2a;pikkus;3
12;71,8;P;alla 2a;pikkus;3
13;72,8;P;alla 2a;pikkus;3
14;73,8;P;alla 2a;pikkus;3
15;74,2;P;alla 2a;pikkus;3
16;75;P;alla 2a;pikkus;3
17;75,8;P;alla 2a;pikkus;3
18;76,2;P;alla 2a;pikkus;3
19;77;P;alla 2a;pikkus;3
20;77,8;P;alla 2a;pikkus;3
21;78,2;P;alla 2a;pikkus;3
22;79;P;alla 2a;pikkus;3
23;79,8;P;alla 2a;pikkus;3
24;80,8;P;alla 2a;pikkus;3
0;49,3;P;alla 2a;pikkus;10
1;52,3;P;alla 2a;pikkus;10
2;55,3;P;alla 2a;pikkus;10
3;58,2;P;alla 2a;pikkus;10
4;61;P;alla 2a;pikkus;10
5;63,6;P;alla 2a;pikkus;10
6;65,7;P;alla 2a;pikkus;10
7;67;P;alla 2a;pikkus;10
8;68,8;P;alla 2a;pikkus;10
9;70;P;alla 2a;pikkus;10
