Tasandi nimetus;Kood;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus;;;;;
peatükk;A;Närvisüsteem;;;0;01.01.2003;;;1;;;;;;
2. tasand;AA;Kolju ja intrakraniaalsed struktuurid;;;1;01.01.2003;;;1;;;;;;
kood;A0093;Kodune peritoneaaldialüüs;Home based peritonal dialysis;;3;01.01.2022;31.12.2022;;1;Uus kood TKW22;;;;;
kood;A0094;Patsiendijuhitud hemodialüüs;Patient administered hemodialysis;;3;01.01.2022;31.12.2022;;1;Uus kood TKW12;;;;;
kood;AA026;Botulismitoksiini süstimine EMG kontrolli all;Botulinus toxin therapy with EMG guidance;;3;01.01.2022;31.12.2022;;1;Uus kood TAD10;;;;;
kood;AA064;Ajuvatsakese punktsioon;Puncture of brain ventricle;;3;01.01.2022;31.12.2022;;1;Uus kood AAA01 ;;;;;
kood;AA500;Korduv transkraniaalne magnetstimulatsioon;Repeating transcranial magnetic stimulation;;3;01.01.2022;31.12.2022;;1;Uus kood TAA12;;;;;
kood;AA5LT;Intrakraniaalne termokoagulatsioon;Intracranial heat coagulation;;3;01.01.2022;31.12.2022;;1;Uus kood AAB40;;;;;
kood;AA70A;Ühe ajupoolkera indutseeritud paralüüs (Wada test);Induced paralysis of one hemisphere (Wada-test);;3;01.01.2022;31.12.2022;;1;Uus kood AAA15 ;;;;;
3. tasand;AAA;Diagnostilised intrakraniaalsed protseduurid;;;2;01.01.2003;;;1;;;;;;
kood;AAA00;Eksploratiivne kraniotoomia;Exploratory craniotomy;;3;01.01.2003;;;1;;;;;;
kood;AAA01;Ajuvatsakese punktsioon;Puncture of brain ventricle;;3;01.01.2023;;;1;;;;;;
kood;AAA10;Biopsia kraniotoomia kaudu;Biopsy through craniotomy;;3;01.01.2003;;;1;;;;;;
kood;AAA14;Endoskoopiline biopsia kraniotoomia kaudu;Endoscopic biopsy through craniotomy;;3;01.01.2022;;;1;;;;;;
kood;AAA15;Ühe ajupoolkera indutseeritud paralüüs (Wada test);Induced paralysis of one hemisphere (Wada-test);;3;01.01.2023;;;1;;;;;;
kood;AAA20;Intraventrikulaarse rõhuanduri paigaldamine intrakraniaalse rõhu monitooringuks;Insertion of intraventricular pressure monitoring device;;3;01.01.2003;;;1;;;;;;
kood;AAA25;Epiduraalse rõhuanduri paigaldamine intrakraniaalse rõhu monitooringuks;Insertion of epidural pressure monitoring device;;3;01.01.2003;;;1;;;;;;
kood;AAA27;Intratserebraalse rõhuanduri paigaldamine intrakraniaalse rõhu monitooringuks;Insertion of intracerebral pressure monitoring device;;3;01.01.2003;;;1;;;;;;
kood;AAA30;Epiduraalsete elektroodide paigaldamine;Insertion of epidural electrodes;;3;01.01.2003;;;1;;;;;;
kood;AAA35;Subduraalsete elektroodide paigaldamine;Insertion of subdural electrodes;;3;01.01.2003;;;1;;;;;;
kood;AAA40;Intratserebraalsete elektroodide paigaldamine;Insertion of intracerebral electrodes;;3;01.01.2003;;;1;;;;;;
kood;AAA50;Intrakraniaalne endoskoopia;Intracranial endoscopy;;3;01.01.2010;;;1;;;;;;
kood;AAA99;Muu diagnostiline intrakraniaalne protseduur;Other diagnostic intracranial procedures;;3;01.01.2003;;;1;;;;;;
3. tasand;AAB;Intrakraniaalse kahjustuskolde ekstsisioon ja likvideerimine ;;;2;01.01.2003;;;1;;;;;;
kood;AAB00;Intrakraniaalse kahjustuskolde ekstirpatsioon;Extirpation of intracranial lesion;;3;01.01.2003;;;1;;;;;;
kood;AAB06;Perkutaanne koljubiopsia;Percutaneous biopsy of skull;;3;01.01.2022;;;1;;;;;;
kood;AAB10;Intrakraniaalse kahjustuskolde osaline ekstsisioon;Partial excision of intracranial lesion;;3;01.01.2003;;;1;;;;;;
kood;AAB20;Intrakraniaalse kahjustuskolde destruktsioon;Destruction of intracranial lesion;;3;01.01.2003;;;1;;;;;;
kood;AAB30;Spontaanse intrakraniaalse hematoomi evakuatsioon;Evacuation of spontaneous intracranial haematoma;;3;01.01.2003;;;1;;;;;;
kood;AAB40;Intrakraniaalne termokoagulatsioon;Intracranial heat coagulation;;3;01.01.2023;;;1;;;;;;
kood;AAB99;Intrakraniaalse kahjustuskolde muu ekstsisioon või destruktsioon;Other excision or destruction of intracranial lesion;;3;01.01.2003;;;1;;;;;;
3. tasand;AAC;Operatsioonid intrakraniaalsete aneurüsmide ja teiste vaskulaarsete kahjustuste korral;;;2;01.01.2003;;;1;;;;;;
kood;AAC00;Intrakraniaalse aneurüsmi klipsimine või ligeerimine;Ligature of intracranial aneurysm;;3;01.01.2003;;;1;;;;;;
kood;AAC05;Intrakraniaalse aneurüsmi toitva arteri ligeerimine;Ligature of feeding artery of intracranial aneurysm;;3;01.01.2003;;;1;;;;;;
kood;AAC10;Intrakraniaalse aneurüsmi seina tugevdamine;Reinforcement of intracranial aneurysm wall;;3;01.01.2003;;;1;;;;;;
kood;AAC15;Intrakraniaalse aneurüsmi okluseerimine;Trapping of intracranial aneurysm;;3;01.01.2003;;;1;;;;;;
kood;AAC20;Anastomoos intrakraniaalsele veresoonele;Anastomosis to intracranial vessel;;3;01.01.2003;;;1;;;;;;
kood;AAC25;Ajuarteri püsiv endovaskulaarne sulgemine;Permanent intravascular closure of brain artery;;3;01.01.2023;;;1;;;;;;
kood;AAC30;Vaskulaarse fistuli intrakraniaalne okluseerimine;Intracranial occlusion of vascular fistula;;3;01.01.2003;;;1;;;;;;
kood;AAC35;Ajuarteri endovaskulaarne trombektoomia;Intravascular evacuation of brain artery embolus;;3;01.01.2023;;;1;;;;;;
kood;AAC40;Intrakraniaalse artero-venoosse malformatsiooni ekstirpatsioon;Extirpation of intracranial arterio-venous malformation;;3;01.01.2003;;;1;;;;;;
kood;AAC45;Kavernoossiinuse vaskulaarne operatsioon ;Vascular operation on sinus cavernosus;;3;01.01.2022;;;1;;;;;;
kood;AAC50;Vertebraalarteri perkutaanne transluminaalne angioplastika stendiga või stendita;Vertebral artery PTA with/without stent;;3;01.01.2023;;;1;;;;;;
