Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus;
H001;;androloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H002;;androloogia päevaravi;;;0;17.05.2019;;;1;;
H003;;allergoloogia-immunoloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H004;;allergoloogia-immunoloogia päevaravi;;;0;17.05.2019;;;1;;
H005;;lasteallergoloogia-immunoloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H006;;lasteallergoloogia-immunoloogia päevaravi;;;0;17.05.2019;;;1;;
H007;;naha- ja suguhaiguste statsionaarne ravi;;;0;17.05.2019;;;1;;
H008;;naha- ja suguhaiguste päevaravi;;;0;17.05.2019;;;1;;
H009;;laste naha- ja suguhaiguste statsionaarne ravi;;;0;17.05.2019;;;1;;
H010;;laste naha- ja suguhaiguste päevaravi;;;0;17.05.2019;;;1;;
H011;;endokrinoloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H012;;endokrinoloogia päevaravi;;;0;17.05.2019;;;1;;
H013;;lasteendokrinoloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H014;;lasteendokrinoloogia päevaravi;;;0;17.05.2019;;;1;;
H015;;gastroenteroloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H016;;gastroenteroloogia päevaravi;;;0;17.05.2019;;;1;;
H017;;lastegastroenteroloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H018;;lastegastroenteroloogia päevaravi;;;0;17.05.2019;;;1;;
H019;;hematoloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H020;;hematoloogia päevaravi;;;0;17.05.2019;;;1;;
H021;;lastehematoloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H022;;lastehematoloogia päevaravi;;;0;17.05.2019;;;1;;
H023;;infektsioonhaiguste statsionaarne ravi;;;0;17.05.2019;;;1;;
H024;;infektsioonhaiguste päevaravi;;;0;17.05.2019;;;1;;
H025;;laste infektsioonhaiguste statsionaarne ravi;;;0;17.05.2019;;;1;;
H026;;laste infektsioonhaiguste päevaravi;;;0;17.05.2019;;;1;;
H027;;kardioloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H028;;kardioloogia päevaravi;;;0;17.05.2019;;;1;;
H029;;lastekardioloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H030;;lastekardioloogia päevaravi;;;0;17.05.2019;;;1;;
H031;;neuroloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H032;;neuroloogia päevaravi;;;0;17.05.2019;;;1;;
H033;;lasteneuroloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H034;;lasteneuroloogia päevaravi;;;0;17.05.2019;;;1;;
H035;;pulmonoloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H036;;pulmonoloogia päevaravi;;;0;17.05.2019;;;1;;
H037;;laste pulmonoloogia-allergoloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H038;;laste pulmonoloogia-allergoloogia päevaravi;;;0;17.05.2019;;;1;;
H039;;tuberkuloosi statsionaarne ravi;;;0;17.05.2019;;;1;;
H040;;tuberkuloosi päevaravi;;;0;17.05.2019;;;1;;
H041;;reumatoloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H042;;reumatoloogia päevaravi;;;0;17.05.2019;;;1;;
