Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus  (tõlge kasutusel piiriülese digiretsepti edastamisel)
%;;%;;;;01.01.2010;;;SOM;1;percent
% W/V;;% W/V;;;;01.01.2010;;;SOM;1;weight per volume
%W/W;;%W/W;;;;01.01.2010;;;SOM;1;percent by weight
1 MG/ML;;1 MG/ML;;;;01.01.2010;;;SOM;1;1 MG/ML
100G;;100G;;;;01.01.2010;;;SOM;1;100 grams
AD;;AD;;;;01.01.2010;;;SOM;1;AD
AD %;;AD %;;;;01.01.2010;;;SOM;1;AD %
AD % W/V;;AD % W/V;;;;01.01.2010;;;SOM;1;AD % W/V
AD 1 G;;AD 1 G;;;;01.01.2010;;;SOM;1;AD 1 G
AD 1 ML;;AD 1 ML;;;;01.01.2010;;;SOM;1;AD 1 ML
AD 100 %;;AD 100 %;;;;01.01.2010;;;SOM;1;AD 100 %
AD 1000 ML;;AD 1000 ML;;;;01.01.2010;;;SOM;1;AD 1000 ML
AD 100ML;;AD 100ML;;;;01.01.2010;;;SOM;1;AD 100ML
AD G;;AD G;;;;01.01.2010;;;SOM;1;AD G
AD MCG;;AD MCG;;;;01.01.2010;;;SOM;1;AD MCG
AD MCL;;AD MCL;;;;01.01.2010;;;SOM;1;AD MCL
AD MG;;AD MG;;;;01.01.2010;;;SOM;1;AD MG
AD MG/ML;;AD MG/ML;;;;01.01.2010;;;SOM;1;AD MG/ML
AD ML;;AD ML;;;;01.01.2010;;;SOM;1;AD ML
AD MMOL/L;;AD MMOL/L;;;;01.01.2010;;;SOM;1;AD MMOL/L
AD PH;;AD PH;;;;01.01.2010;;;SOM;1;AD PH
AD PH 4,5;;AD PH 4,5;;;;01.01.2010;;;SOM;1;AD PH 4,5
AMPULL;;AMPULL;;;;01.01.2010;;;SOM;1;ampoule(s)
ANNUST;;ANNUST;;;;01.01.2010;31.03.2023;;Tervisekassa;0;"Asendatud väärtusega ""Annus"""
ANNUS;;ANNUS;;;;31.03.2023;;;Tervisekassa;1;dosage(s)
ANTIGEENI ÜHIK;;ANTIGEENI ÜHIK;;;;01.01.2010;;;SOM;1;antigen unit(s)
ANTI-XA;;ANTI-XA;;;;01.01.2010;;;SOM;1;anti-Xa
BOU;;BOU;;;;01.01.2010;;;SOM;1;billion units
CCID50;;CCID50;;;;01.01.2010;;;SOM;1;50% cell culture infectious dose
CENTILITER;;CENTILITER;;;;01.01.2010;;;SOM;1;centiliter(s)
CM;;CM;;;;01.01.2010;;;SOM;1;centimeter(s)
CM2;;CM2;;;;01.01.2010;;;SOM;1;square centimeter(s)
CM3;;CM3;;;;01.01.2010;;;SOM;1;cubic centimeter(s)
CUBIC FOOT;;CUBIC FOOT;;;;01.01.2010;;;SOM;1;cubic foot
D-ANTIGEENI ÜHIK;;D-ANTIGEENI ÜHIK;;;;01.01.2010;;;SOM;1;d-antigen unit(s)
DOOS;;DOOS;;;;01.01.2010;;;SOM;1;dose(s)
EL.U;;EL.U;;;;01.01.2010;;;SOM;1;ELISA unit(s)
ELISA ÜHIK;;ELISA ÜHIK;;;;01.01.2010;;;SOM;1;ELISA unit(s)
G;;G;;;;01.01.2010;;;SOM;1;gram(s)
G/1000ML;;G/1000ML;;;;01.01.2010;;;SOM;1;gram(s) per 1000 milliliter
G/100G;;G/100G;;;;01.01.2010;;;SOM;1;gram(s) per 100 gram
G/100ML;;G/100ML;;;;01.01.2010;;;SOM;1;gram(s) per 100 milliliter
G/20ML;;G/20ML;;;;01.01.2010;;;SOM;1;gram(s) per 20 milliliter
G/50ML;;G/50ML;;;;01.01.2010;;;SOM;1;gram(s) per 50 milliliter
G/5ML;;G/5ML;;;;01.01.2010;;;SOM;1;gram(s) per 5 milliliter
G/ML;;G/ML;;;;01.01.2010;;;SOM;1;gram(s) per milliliter
GBQ;;GBQ;;;;01.01.2010;;;SOM;1;gigabecquerel(s)
GRAMM;;GRAMM;;;;01.01.2010;;;SOM;1;gram(s)
H;;H;;;;01.01.2010;;;SOM;1;hour(s)
IR;;IR;;;;01.01.2010;;;SOM;1;index of reactivity
KANISTER;;KANISTER;;;;01.01.2010;;;SOM;1;canister(s)
KAPSEL;;KAPSEL;;;;01.01.2010;;;SOM;1;capsule(s)
KATSUTIT;;KATSUTIT;;;;01.01.2010;;;SOM;1;test-tube(s)
KG;;KG;;;;01.01.2010;;;SOM;1;kilogram(s)
KILOTONNE;;KILOTONNE;;;;01.01.2010;;;SOM;1;kiloton(s)
KOMPLEKT;;KOMPLEKT;;;;01.01.2010;;;SOM;1;kit(s)
KONTEINER;;KONTEINER;;;;01.01.2010;;;SOM;1;container(s)
KOTT;;KOTT;;;;01.01.2010;;;SOM;1;bag(s)
L;;L;;;;01.01.2010;;;SOM;1;liter(s)
LD50;;LD50;;;;01.01.2010;;;SOM;1;lethal dose 50 -median concentration of a toxicant that will kill 50% of the test animals within a designated period
LRÜ;;LRÜ;;;;01.01.2010;;;SOM;1;LRÜ
MBQ;;MBQ;;;;01.01.2010;;;SOM;1;megabecquerel(s)
MCG;;MCG;;;;01.01.2010;;;SOM;1;microgram(s)
MCG/0,5ML;;MCG/0,5ML;;;;01.01.2010;;;SOM;1;microgram(s) per 0,5 milliliter
MCG/ANNUSES;;MCG/ANNUSES;;;;01.01.2010;;;SOM;1;microgram(s) per dose
MCG/CM2;;MCG/CM2;;;;01.01.2010;;;SOM;1;microgram(s) per square centimeter
MCG/ML;;MCG/ML;;;;01.01.2010;;;SOM;1;microgram(s) per milliliter
MCG/VIAALIS;;MCG/VIAALIS;;;;01.01.2010;;;SOM;1;microgram(s) per vial
MCI;;MCI;;;;01.01.2010;;;SOM;1;microliter(s)
MCL;;MCL;;;;01.01.2010;;;SOM;1;microliter(s)
MCL/G;;MCL/G;;;;01.01.2010;;;SOM;1;microliter(s) per gram
MG;;MG;;;;01.01.2010;;;SOM;1;milligram(s)
MG/100G;;MG/100G;;;;01.01.2010;;;SOM;1;milligram(s) per 100 gram
MG/10ML;;MG/10ML;;;;01.01.2010;;;SOM;1;milligram(s) per 10 milliliter
MG/20ML;;MG/20ML;;;;01.01.2010;;;SOM;1;milligram(s) per 20 milliliter
MG/5ML;;MG/5ML;;;;01.01.2010;;;SOM;1;milligram(s) per 5 milliliter
MG/ANNUSES;;MG/ANNUSES;;;;01.01.2010;;;SOM;1;milligram(s) per dose
MG/G;;MG/G;;;;01.01.2010;;;SOM;1;milligram(s) per gram
MG/ML;;MG/ML;;;;01.01.2010;;;SOM;1;milligram(s) per milliliter
MG/TABLETIS;;MG/TABLETIS;;;;01.01.2010;;;SOM;1;milligram(s) per tablet
MG+MCG;;MG+MCG;;;;01.01.2010;;;SOM;1;milligram(s) + microgram(s)
MILJTÜ;;MILJTÜ;;;;01.01.2010;;;SOM;1;million units
ML;;ML;;;;01.01.2010;;;SOM;1;milliliter(s)
ML/20ML;;ML/20ML;;;;01.01.2010;;;SOM;1;milliliter(s) per 20 milliliter
ML/5ML;;ML/5ML;;;;01.01.2010;;;SOM;1;milliliter(s) per 5 milliliter
MMOL;;MMOL;;;;01.01.2010;;;SOM;1;millimole(s)
MMOL/L;;MMOL/L;;;;01.01.2010;;;SOM;1;millimole(s) per liter
MOL/L;;MOL/L;;;;01.01.2010;;;SOM;1;mole(s) per liter
MÕÕTANNUS;;MÕÕTANNUS;;;;31.03.2023;;;Tervisekassa;1;actuation(s)
PFU;;PFU;;;;01.01.2010;;;SOM;1;plaque forming unit(s)
PPM;;PPM;;;;01.01.2010;;;SOM;1;parts per million
PUDEL;;PUDEL;;;;01.01.2010;;;SOM;1;bottle(s)
PURK;;PURK;;;;01.01.2010;;;SOM;1;jar(s)
RÜ;;RÜ;;;;01.01.2010;;;SOM;1;international unit(s)
SÜSTAL;;SÜSTAL;;;;01.01.2010;;;SOM;1;injection syringe(s)
TABL;;TABLETTI;;;;01.01.2010;;;SOM;1;tablet(s)
TILKA;;TILKA;;;;01.01.2010;;;SOM;1;drop(s)
TK;;TÜKK;;;;01.01.2010;;;SOM;1;piece(s)
TK;;TK;;;;01.01.2010;;;SOM;1;piece(s)
TÜ;;TOIMEAINE ÜHIK;;;;01.01.2010;;;SOM;1;unit(s)
US GALLON;;US GALLON;;;;01.01.2010;;;SOM;1;USA gallon(s)
US POUND;;US POUND;;;;01.01.2010;;;SOM;1;USA pound(s)
VIAAL;;VIAAL;;;;01.01.2010;;;SOM;1;vial(s)
ÜHIK;;ÜHIK;;;;01.01.2010;;;SOM;1;unit(s)
X10ASTMES8;;X10ASTMES8;;;;01.01.2010;;;SOM;1;x10^8
X10ASTMES9;;X10ASTMES9;;;;01.01.2010;;;SOM;1;x10^9
YH;;YH;;;;01.01.2010;;;SOM;1;unit(s)
;;;;;;;;;;;
