Kood;Lühinimetus;Nimetus;Pikk_nimetus (SNOMED CT FSN);Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;JSV kood VSR-i jaoks
274945004;;AA-amüloidoos;Amyloid A amyloidosis (disorder);;0;19.12.2016;;29.11.2018;Eesti Patoloogide Selts;1;Korrigeeritud SNOMED CT FSN: AA amyloidosis (disorder)  -> Amyloid A amyloidosis (disorder);
45187003;;Abdominaalne fibromatoos;Abdominal fibromatosis (morphologic abnormality);;0;19.12.2016;30.09.2019;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 400153009 Abdominal fibromatosis (disorder);
116023004;;Abnormne rakustruktuur;Abnormal cell structure (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
27580004;;Abnormne tuuma ja tsütoplasma suhe;Abnormal nuclear/cytoplasmic ratio (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
39820009;;Abnormne tuumakeste arv;Abnormal number of nucleoli (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
46369004;;Actinomyces israelii;Actinomyces israelii (organism);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
40560008;;Actinomyces sp;Genus Actinomyces (organism);;0;19.12.2016;;30.09.2019;Eesti Patoloogide Selts;1;Muudetud veerus Nimetus: Actinomyces spp. -> Actinomyces sp;
128781004;;Adamantinomatoosne kraniofarüngioom;Craniopharyngioma, adamantinomatous (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
125152006;;Adekvaatne materjal;Specimen satisfactory for evaluation (finding);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
88000003;;Adenofibromüomatoosne hüperplaasia;Adenofibromyomatous hyperplasia (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
2962009;;Adenofibroom;Adenofibroma, no International Classification of Diseases for Oncology subtype (morphologic abnormality);;0;19.12.2016;30.11.2021;29.11.2018;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 1157241000 Benign adenofibroma (morphologic abnormality);
128637002;;Adenoidne basaalne kartsinoom;Adenoid basal carcinoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
85956000;;Adenoidne lamerakuline kartsinoom;Adenoid squamous cell carcinoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
11671000;;Adenoidtsüstiline kartsinoom;Adenoid cystic carcinoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;4- vähk
43233001;;Adenokartsinoom adenomatoosses polüübis;Adenocarcinoma in adenomatous polyp (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;4- vähk
51642000;;Adenokartsinoom in situ;Adenocarcinoma in situ (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
51617009;;Adenokartsinoom in situ tubulovilloosses adenoomis;Adenocarcinoma in situ in tubulovillous adenoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;4- vähk
4935000;;Adenokartsinoom in situ villoosses adenoomis;Adenocarcinoma in situ in villous adenoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;4- vähk
68358000;;Adenokartsinoom käävrakulise metaplaasiaga;Adenocarcinoma with spindle cell metaplasia (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
128662002;;Adenokartsinoom mitme alamtüübiga;Adenocarcinoma with mixed subtypes (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
5658009;;Adenokartsinoom tubulovilloosses adenoomis;Adenocarcinoma in tubulovillous adenoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;4- vähk
36087009;;Adenokartsinoom villoosses adenoomis;Adenocarcinoma in villous adenoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;4- vähk
25190001;;Adenokartsinoom, intestinaalne tüüp;Adenocarcinoma, intestinal type (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;4- vähk
4590003;;Adenokartsinoom, metastaatiline;Adenocarcinoma, metastatic (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;4- vähk
35917007;;Adenokartsinoom, teisiti täpsustamata;Adenocarcinoma, no subtype (morphologic abnormality);;0;19.12.2016;31.05.2022;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 1187332001 Adenocarcinoma (morphologic abnormality);4- vähk
2348006;;Adenomatoidne kasvaja;Adenomatoid tumor (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
60599006;;Adenomatoidne odontogeenne kasvaja;Adenomatoid odontogenic tumor (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
40318005;;Adenomatoosne sõlm;Adenomatous nodule (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
128765009;;Adenomüoepitelioom;Adenomyoepithelioma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
703644009;;Adenomüoepitelioom kartsinoomiga;Adenomyoepithelioma with carcinoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
699661003;;Adenomüomatoos;Adenomyomatosis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
708795001;;Adenomüomatoosne polüüp;Adenomyomatous polyp (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
40293003;;Adenomüoom;Adenomyoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
