CODE;PARENT_CODE;ITEM_LEVEL;NAME_ET;NAME_EN;NAME_RU;SHORTNAME_ET;SHORTNAME_EN;SHORTNAME_RU;DESCRIPTION_ET;DESCRIPTION_EN;DESCRIPTION_RU;INCLUDES_ET;INCLUDES_EN;INCLUDES_RU;INCLUDES_ALSO_ET;INCLUDES_ALSO_EN;INCLUDES_ALSO_RU;EXCLUDES_ET;EXCLUDES_EN;EXCLUDES_RU;NOTES;MEAS_UNIT;ALTTEXT_ET;ALTTEXT_EN;ALTTEXT_RU;VALIDFROM;VALIDTO
0037;;1;Harju maakond;Harju county;????????? ????;;;;Harju maakond;Harju county;????????? ????;;;;;;;;;;;;;;;;
0039;;1;Hiiu maakond;Hiiu county;???????? ????;;;;Hiiu maakond;Hiiu county;???????? ????;;;;;;;;;;;;;;;;
0045;;1;Ida-Viru maakond;Ida-Viru county;???-???????? ????;;;;Ida-Viru maakond;Ida-Viru county;???-???????? ????;;;;;;;;;;;;;;;;
0050;;1;Jõgeva maakond;Jõgeva county;?????????? ????;;;;Jõgeva maakond;Jõgeva county;?????????? ????;;;;;;;;;;;;;;;;
0052;;1;Järva maakond;Järva county;???????? ????;;;;Järva maakond;Järva county;???????? ????;;;;;;;;;;;;;;;;
0056;;1;Lääne maakond;Lääne county;????????? ????;;;;Lääne maakond;Lääne county;????????? ????;;;;;;;;;;;;;;;;
0060;;1;Lääne-Viru maakond;Lääne-Viru county;?????-???????? ????;;;;Lääne-Viru maakond;Lääne-Viru county;?????-???????? ????;;;;;;;;;;;;;;;;
0064;;1;Põlva maakond;Põlva county;????????? ????;;;;Põlva maakond;Põlva county;????????? ????;;;;;;;;;;;;;;;;
0068;;1;Pärnu maakond;Pärnu county;????????? ????;;;;Pärnu maakond;Pärnu county;????????? ????;;;;;;;;;;;;;;;;
0071;;1;Rapla maakond;Rapla county;????????? ????;;;;Rapla maakond;Rapla county;????????? ????;;;;;;;;;;;;;;;;
