KOOD;LÜHINIMETUS;NIMETUS;PIKK_NIMETUS;VANEM_KOOD;HIERARHIA_ASTE;KEHTIVUSE_ALGUSE_KPV;KEHTIVUSE_LÕPU_KPV;VIIMANE_MUUDATUS_KPV;MUUTJA;STAATUS;SELGITUS
1;üheliikmeline leibkond;üksi;üksi;0;;1.01.2008;;;sotsiaalministeerium;1;üheliikmeline leibkond
2;mitmeliikmeline leibkond;ei ole üksi;ei ole üksi;0;;1.01.2008;;;sotsiaalministeerium;1;mitmeliikmeline leibkond
21;vanema/vanematega;vanema/vanematega;vanema/vanematega;2;1;1.01.2008;;;sotsiaalministeerium;1;mitmeliikmeline leibkond
22;lapsega/lastega (partnerita);lapsega/lastega (partnerita);lapsega/lastega (partnerita);2;1;1.01.2008;;;sotsiaalministeerium;1;mitmeliikmeline leibkond
23;partneriga (ilma lasteta);partneriga (ilma lasteta);partneriga (ilma lasteta);2;1;1.01.2008;;;sotsiaalministeerium;1;mitmeliikmeline leibkond
24;partneri ja lapse/lastega;partneri ja lapse/lastega;partneri ja lapse/lastega;2;1;1.01.2008;;;sotsiaalministeerium;1;mitmeliikmeline leibkond
25;teiste sugulastega;teiste sugulastega;teiste sugulastega;2;1;1.01.2008;;;sotsiaalministeerium;1;mitmeliikmeline leibkond
26;sõprade, tuttavatega;sõprade, tuttavatega;sõprade, tuttavatega;2;1;1.01.2008;;;sotsiaalministeerium;1;mitmeliikmeline leibkond
3;asutusleibkond;muu (vangla, hooldekodu, haigla, lastekodu jne);muu (vangla, hooldekodu, haigla, lastekodu jne);0;;1.01.2008;;;sotsiaalministeerium;1;astusleibkond
99;ei ole teada;ei ole teada;ei ole teada;0;;1.01.2008;;;sotsiaalministeerium;1;ei ole teada
