KOOD;LÜHINIMETUS;NIMETUS;PIKK_NIMETUS;VANEM_KOOD;HIERARHIA_ASTE;KEHTIVUSE_ALGUSE_KPV;KEHTIVUSE_LÕPU_KPV;VIIMANE_MUUDATUS_KPV;MUUTJA;STAATUS;SELGITUS
A;füüsikalised ohutegurid;füüsikalised ohutegurid;füüsikalised ohutegurid;;0;1.05.2009;;;sotsiaalministeerium, eesti ämmaemandate liit, eesti e-tervise sa;1;
A1;põrutused, üldvibratsioon ja seda põhjustavad seadmed;põrutused, üldvibratsioon ja seda põhjustavad seadmed;põrutused, üldvibratsioon ja seda põhjustavad seadmed;a;1;1.05.2009;;;sotsiaalministeerium, eesti ämmaemandate liit, eesti e-tervise sa;1;
A2;müra;müra;müra;a;1;1.05.2009;;;sotsiaalministeerium, eesti ämmaemandate liit, eesti e-tervise sa;1;
A3;ioniseeriv kiirgus ja mitteioniseeriv kiirgus (ultraviolettkiirgus, laserkiirgus, infrapunane kiirgus);ioniseeriv kiirgus ja mitteioniseeriv kiirgus (ultraviolettkiirgus, laserkiirgus, infrapunane kiirgus);ioniseeriv kiirgus ja mitteioniseeriv kiirgus (ultraviolettkiirgus, laserkiirgus, infrapunane kiirgus);a;1;1.05.2009;;;sotsiaalministeerium, eesti ämmaemandate liit, eesti e-tervise sa;1;
A4;elektromagnetväli;elektromagnetväli;elektromagnetväli;a;1;1.05.2009;;;sotsiaalministeerium, eesti ämmaemandate liit, eesti e-tervise sa;1;
A5;kõrge ja madal (ekstreemne) temperatuur.;kõrge ja madal (ekstreemne) temperatuur.;kõrge ja madal (ekstreemne) temperatuur.;a;1;1.05.2009;;;sotsiaalministeerium, eesti ämmaemandate liit, eesti e-tervise sa;1;
B;keemilised ohutegurid;keemilised ohutegurid;keemilised ohutegurid;;0;1.05.2009;;;sotsiaalministeerium, eesti ämmaemandate liit, eesti e-tervise sa;1;
B1;ohtlikud kemikaalid, mis märgistatakse riskilausetega r40, r45, r46, r47, r61, r63, r64 ja neid kemikaale sisaldavad valmistised;ohtlikud kemikaalid, mis märgistatakse riskilausetega r40, r45, r46, r47, r61, r63, r64 ja neid kemikaale sisaldavad valmistised;ohtlikud kemikaalid, mis märgistatakse riskilausetega r40, r45, r46, r47, r61, r63, r64 ja neid kemikaale sisaldavad valmistised;b;1;1.05.2009;;;sotsiaalministeerium, eesti ämmaemandate liit, eesti e-tervise sa;1;
B2;1. kategooria kantserogeenid;1. kategooria kantserogeenid;1. kategooria kantserogeenid;b;1;1.05.2009;;;sotsiaalministeerium, eesti ämmaemandate liit, eesti e-tervise sa;1;
B3;elavhõbe ja selle ühendid;elavhõbe ja selle ühendid;elavhõbe ja selle ühendid;b;1;1.05.2009;;;sotsiaalministeerium, eesti ämmaemandate liit, eesti e-tervise sa;1;
