Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus (tõlge kasutuses piiriüleselt digiretsepti edastamisel)
KP01;;tegemist on bioloogilise ravimiga;;;0;06.01.2016;;;Haigekassa;1;Prohibited since it is a biological medicinal product
KP02;;tegemist on kitsa terapeutilise vahemikuga ravimiga;;;0;06.01.2016;;;Haigekassa;1;Prohibited since it is a medicinal product with narrow therapeutic index
KP03;;patsiendil esineb ülitundlikkus abiaine vastu, mis esineb kõigis teistes sarnastes ja sama toimeainega ravimites;;;0;06.01.2016;;10.10.2016;Haigekassa;1;Prohibited because the patient has hypersensitivity for the excipient which is present in all similar medicinal products with same active ingredient
KP04;;patsienti on õpetatud kasutama konkreetset manustamisvahendit;;;0;06.01.2016;;10.10.2016;Haigekassa;1;Prohibited because the patient has been taught to use this specific means for administration
KP05;;patsiendile on paremini talutav konkreetne ravim, mille toimekestus erineb kõigist teistest sama toimeainega ja ravimvormis ravimitest;;;0;06.01.2016;;10.10.2016;Haigekassa;1;Prohibited because the patient tolerates this specific medicinal product due to the duration of action, which differs from all other medicinal products with same ingredient and dose form
KP06;;tegemist on toiteseguga;;;0;06.05.2016;;;Haigekassa;1;Prohibited since it is a nutrition preparation
KP07;;abiainete koostis tagab toimeaine sellise vabanemiskoha, mis erineb kõigist teistest sarnastest ja sama toimeainega ravimitest;;;0;10.10.2016;;;Haigekassa;1;Prohibited because the content of excipients ensures the site of release for ingredients, which is different from all other similar and with same ingredient medicinal products
KP08;;patsiendil on diagnoositud kaasuv psüühika- või käitumishäire;;;0;10.10.2016;;;Haigekassa;1;Prohibited because the patient has been diagnosed with concurrent mental or behavioural disorder
KP09;;tegemist on müügiloata/erisoodustusega ravimiga;;;0;10.10.2016;;;Haigekassa;1;Prohibited since it is a medicinal product with fringe benefit or without market authorisation in Estonia
KP10;;tegemist on riigihanke ravimiga;;;0;01.11.2023;;;Haigekassa;1;Prohibited since it is a medicinal product which is purchased through a public procurement
