Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
01;;Punane faas;;;0;16.05.2019;;;1;
02;;Granuleeruv eksudaadiga;;01;1;16.05.2019;;;1;
03;;Granulatsioonikude;;01;1;16.05.2019;;;1;
04;;Granulatsioon/epitelisatsioon;;01;1;16.05.2019;;;1;
05;;Habras epiteliseeruv;;01;1;16.05.2019;;;1;
06;;Kollane faas;;;0;16.05.2019;;;1;
07;;Koorik ja eksudaat;;06;1;16.05.2019;;;1;
08;;Kombineeritud haav;;06;1;16.05.2019;;;1;
09;;Kuiv kollane fibriin;;06;1;16.05.2019;;;1;
10;;Must faas;;;0;16.05.2019;;;1;
11;;Mustjas, nekrootiline;;10;1;16.05.2019;;;1;
12;;Nekroos;;10;1;16.05.2019;;;1;
13;;Kõõlus/luu;;10;1;16.05.2019;;;1;
14;;Pole võimalik määrata;;;0;16.05.2019;;;1;
