Kood;Lühinimetus;Nimetus;Pikk_nimetus (SNOMED CT FSN);Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
20902002;;Voodist kukkumine;Fall from bed (event);;0;16.05.2019;;;1;
83468000;;Toolilt kukkumine;Fall from chair (event);;0;16.05.2019;;;1;
242415000;;Kanderaamilt kukkumine;Fall from hospital gurney (event);;0;16.05.2019;;;1;
713397003;;Protseduurilaualt kukkumine;Fall from operating room table (event);;0;16.05.2019;;;1;
242414001;;Potitoolilt kukkumine;Fall from stool (event);;0;16.05.2019;;;1;
242419006;;WC-potilt kukkumine;Fall from toilet seat (event);;0;16.05.2019;;;1;
17886000;;Ratastoolist kukkumine;Fall from wheelchair (event);;0;16.05.2019;;;1;
86591008;;Redelilt kukkumine;Fall from ladder (event);;0;16.05.2019;;;1;
217103006;;Rõdult kukkumine;Fall from balcony (event);;0;16.05.2019;;;1;
90639005;;Aknast kukkumine;Fall from window (event);;0;16.05.2019;;;1;
90619006;;Vannis kukkumine;Fall in bathtub (event);;0;16.05.2019;;;1;
44188002;;Duši all kukkumine;Fall in shower (event);;0;16.05.2019;;;1;
75354000;;Jääl kukkumine;Fall on ice (event);;0;16.05.2019;;;1;
217090002;;Trepist kukkumine;Fall from stairs (event);;0;16.05.2019;;;1;
242120009;;Ühistranspordis kukkumine;Fall on public service vehicle (event);;0;16.05.2019;;;1;
60594001;;Kukkumine tõstmise käigus;Fall while being carried (event);;0;16.05.2019;;;1;
