Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
IDCARD;ID-kaart;Isikutunnistus;Isikutunnistus;0;0;01.01.2012;;;ETSA;1;
DIDCARD;digitaalne isikutunnistus;digitaalne isikutunnistus;digitaalne isikutunnistus;0;0;01.01.2012;13.08.2019;;ETSA;0;
EPASS;Eesti kodaniku pass;Eesti kodaniku pass;Eesti kodaniku pass;0;0;01.01.2012;;;ETSA;1;
DPASS;diplomaatiline pass;diplomaatiline pass;diplomaatiline pass;0;0;01.01.2012;;;ETSA;1;
SEAFARERDBOOK;meremehe teenistusraamat;meremehe teenistusraamat;meremehe teenistusraamat;0;0;01.01.2012;;;ETSA;1;
APASS;välismaalase pass;välismaalase pass;välismaalase pass;0;0;01.01.2012;;;ETSA;1;
TEMPTRAVELDOC;ajutine reisidokument;ajutine reisidokument;ajutine reisidokument;0;0;01.01.2012;;;ETSA;1;
REFTRAVELDOC;pagulase reisidokument;pagulase reisidokument;pagulase reisidokument;0;0;01.01.2012;;;ETSA;1;
SHIPSERVICECERT;meresõidutunnistus;meresõidutunnistus;meresõidutunnistus;0;0;01.01.2012;;;ETSA;1;
RETURNCERT;tagasipöördumistunnistus;tagasipöördumistunnistus;tagasipöördumistunnistus;0;0;01.01.2012;;;ETSA;1;
RETURNPERM;tagasipöördumise luba;tagasipöördumise luba;tagasipöördumise luba;0;0;01.01.2012;;;ETSA;1;
RECIDENCEPERMCARD;elamisloa kaart;elamisloa kaart;elamisloa kaart;0;0;13.08.2019;;;TEHIK;1;
DRIVINGLICENCE;juhiluba;juhiluba;juhiluba;0;0;13.08.2019;;;TEHIK;1;
