Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;;;
407479009;A-gripi viirus;A-gripi viirus;Influenza A virus (organism);;;01.01.2013;;;TA;1;;;;
32452004;A-hepatiidi viirus;A-hepatiidi viirus;Hepatitis A virus (organism);;;01.01.2013;;;TA;1;;;;
420364006;Anaplasma phagocytophilum;Anaplasma phagocytophilum ;Anaplasma phagocytophilum (organism);;;22.12.2020;;;TA;1;Versioonis 2 lisatud;;;
3351007;Anaplasma sp;Anaplasma sp;Genus Anaplasma (organism);;;22.12.2020;;;TA;1;Versioonis 2 lisatud;;;
442001008;Andide viirus;Andide viirus;Andes orthohantavirus (organism);;;01.01.2013;;;TA;1;;;;
19061001;Ascaris lumbricoides;Ascaris lumbricoides;Ascaris lumbricoides (organism);;;01.01.2013;;;TA;1;;;;
33160002;Astroviirus;Astroviirus;Human astrovirus (organism);;;01.01.2013;;;TA;1;;;;
21927003;Bacillus anthracis;Bacillus anthracis;Bacillus anthracis (organism);;;01.01.2013;;;TA;1;;;;
84408007;Bacillus cereus;Bacillus cereus;Bacillus cereus (organism);;;01.01.2013;;;TA;1;;;;
44762009;Bacillus sp;Bacillus sp;Genus Bacillus (organism);;;22.12.2020;;;TA;1;Versioonis 2 lisatud, asendab kehtetuks tunnistatud väärtust koodiga 372377007;;;
372377007;Bacillus spp.;Bacillus spp.;Bacillus spp.;;;01.01.2013;22.12.2020;;TA;0;Versioonis 2 tunnistatud kehtetuks, seda asendab väärtus koodiga 44762009;;;
68532001;Balantidium coli;Balantidium coli;Balantidium coli (organism);;;01.01.2013;;;TA;1;;;;
407480007;B-gripi viirus;B-gripi viirus;Influenza B virus (organism);;;01.01.2013;;;TA;1;;;;
81665004;B-hepatiidi viirus;B-hepatiidi viirus;Hepatitis B virus (organism);;;01.01.2013;;;TA;1;;;;
26183002;Bordetella parapertussis;Bordetella parapertussis;Bordetella parapertussis (organism);;;01.01.2013;;;TA;1;;;;
5247005;Bordetella pertussis;Bordetella pertussis;Bordetella pertussis (organism);;;01.01.2013;;;TA;1;;;;
46466005;Bordetella sp;Bordetella sp;Genus Bordetella (organism);;;22.12.2020;;;TA;1;Versioonis 2 lisatud, asendab kehtetuks tunnistatud väärtust koodiga 131220003;;;
131220003;Bordetella spp. ;Bordetella spp. ;Bordetella spp. ;;;01.01.2013;22.12.2020;;TA;0;Versioonis 2 tunnistatud kehtetuks, seda asendab väärtus koodiga 46466005;;;
76327009;Borrelia burgdorferi;Borrelia burgdorferi;Borrelia burgdorferi (organism);;;01.01.2013;;;TA;1;;;;
24224000;Brucella abortus;Brucella abortus;Brucella abortus (organism);;;01.01.2013;;;TA;1;;;;
38025008;Brucella canis;Brucella canis;Brucella canis (organism);;;01.01.2013;;;TA;1;;;;
72829003;Brucella melitensis;Brucella melitensis;Brucella melitensis (organism);;;01.01.2013;;;TA;1;;;;
26250004;Brucella sp;Brucella sp;Genus Brucella (organism);;;22.12.2020;;;TA;1;Versioonis 2 lisatud, asendab kehtetuks tunnistatud väärtust koodiga 116505000;;;
116505000;Brucella sp.;Brucella sp.;Brucella sp.;;;01.01.2013;22.12.2020;;TA;0;Versioonis 2 tunnistatud kehtetuks, seda asendab väärtus koodiga 26250004;;;
48317004;Brucella suis;Brucella suis;Brucella suis (organism);;;01.01.2013;;;TA;1;;;;
40614002;Campylobacter coli;Campylobacter coli;Campylobacter coli (organism);;;01.01.2013;;;TA;1;;;;
9892000;Campylobacter concisus;Campylobacter concisus;Campylobacter concisus (organism);;;01.01.2013;;;TA;1;;;;
116037008;Campylobacter curvus;Campylobacter curvus;Campylobacter curvus (organism);;;01.01.2013;;;TA;1;;;;
84210007;Campylobacter fetus;Campylobacter fetus;Campylobacter fetus (organism);;;01.01.2013;;;TA;1;;;;
64589009;Campylobacter fetus ssp fetus;Campylobacter fetus ssp fetus;Campylobacter fetus ss. fetus (organism);;;01.01.2013;;;TA;1;;;;
60817000;Campylobacter fetus ssp venerealis;Campylobacter fetus ssp venerealis;Campylobacter fetus ss. venerealis (organism);;;01.01.2013;;;TA;1;;;;
113528007;Campylobacter gracilis;Campylobacter gracilis;Campylobacter gracilis (organism);;;01.01.2013;;;TA;1;;;;
416679003;Campylobacter hominis;Campylobacter hominis;Campylobacter hominis (organism);;;01.01.2013;;;TA;1;;;;
9041007;Campylobacter hyointestinalis;Campylobacter hyointestinalis;Campylobacter hyointestinalis (organism);;;01.01.2013;;;TA;1;;;;
66543000;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni (organism);;;01.01.2013;;;TA;1;;;;
113523003;Campylobacter jejuni ssp doylei;Campylobacter jejuni ssp doylei;Campylobacter jejuni ss doylei (organism);;;01.01.2013;;;TA;1;;;;
113524009;Campylobacter jejuni ssp jejuni;Campylobacter jejuni ssp jejuni;Campylobacter jejuni ss jejuni (organism);;;01.01.2013;;;TA;1;;;;
116386003;Campylobacter lari;Campylobacter lari;Campylobacter lari (organism);;;01.01.2013;;;TA;1;;;;
87402003;Campylobacter mucosalis;Campylobacter mucosalis;Campylobacter mucosalis (organism);;;01.01.2013;;;TA;1;;;;
113525005;Campylobacter rectus;Campylobacter rectus;Campylobacter rectus (organism);;;01.01.2013;;;TA;1;;;;
113526006;Campylobacter showae;Campylobacter showae;Campylobacter showae (organism);;;01.01.2013;;;TA;1;;;;
35408001;Campylobacter sp;Campylobacter sp;Genus Campylobacter (organism);;;22.12.2020;;;TA;1;Versioonis 2 lisatud;;;
116457002;Campylobacter spp.;Campylobacter spp.;Campylobacter spp.;;;01.01.2013;22.12.2020;;TA;0;Versioonis 2 tunnistatud kehtetuks, seda asendab väärtus koodiga 91524009;;;
91524009;Campylobacter sputorum;Campylobacter sputorum;Campylobacter sputorum (organism);;;01.01.2013;;;TA;1;Asendab kehtetuks tunnistatud väärtust koodiga 116457002;;;
19552006;Campylobacter sputorum ssp bubulus;Campylobacter sputorum ssp bubulus;Campylobacter sputorum ss. bubulus (organism);;;01.01.2013;;;TA;1;;;;
58928003;Campylobacter sputorum ssp sputorum;Campylobacter sputorum ssp sputorum;Campylobacter sputorum ss. sputorum (organism);;;01.01.2013;;;TA;1;;;;
103427005;Campylobacter upsaliensis;Campylobacter upsaliensis;Campylobacter upsaliensis (organism);;;01.01.2013;;;TA;1;;;;
62944002;C-hepatiidi viirus;C-hepatiidi viirus;Hepatitis C virus (organism);;;01.04.2013;;;TA;1;;;;
2423009;Chikungunya viirus;Chikungunya viirus;Chikungunya virus (organism);;;01.01.2013;;;TA;1;;;;
63938009;Chlamydia trachomatis;Chlamydia trachomatis;Chlamydia trachomatis (organism);;;01.01.2013;;;TA;1;;;;
103514009;Chlamydophila pneumoniae;Chlamydophila pneumoniae;Chlamydophila pneumoniae (organism);;;01.01.2013;;;TA;1;;;;
