Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus;;;
001;;Raviprotseduuride teostamine;;;0;16.05.2019;;;1;;;;
002;;Ravimi manustamine;;001;1;16.05.2019;;;1;Arsti korraldusel tehtav toiming;;;
003;;Muu sümptomaatilise ravi rakendamine;;001;1;16.05.2019;;;1;;;;
004;;Parenteraalne toitmine i/v;;001;1;16.05.2019;;;1;Arsti korraldusel tehtav toiming;;;
005;;Lamatiste ja haavandite ravi;;001;1;16.05.2019;;;1;;;;
006;;Haavadreeni hooldus;;001;1;16.05.2019;;;1;;;;
058;;Valuravi teostamine;;001;1;28.07.2022;;;1;Arsti korraldusel tehtav toiming;;;
059;;Uuringumaterjalide võtmine laboratoorseteks uuringuteks;;;0;28.07.2022;;;1;Arsti korraldusel tehtav toiming;;;
060;;Immuniseerimine;;;0;28.07.2022;;;1;;;;
007;;Terviseseisundi jälgimine dünaamikas;;;0;16.05.2019;;;1;;;;
008;;Elutähtsate näitajate regulaarne mõõtmine ja hindamine;;007;1;16.05.2019;;;1;;;;
009;;Kehatemperatuuri mõõtmine;;008;2;16.05.2019;;;1;;;;
010;;Vererõhu mõõtmine;;008;2;16.05.2019;;;1;;;;
011;;Hingamissageduse mõõtmine;;008;2;16.05.2019;;;1;;;;
012;;Saturatsiooni mõõtmine;;008;2;16.05.2019;;;1;;;;
013;;Pulsisageduse mõõtmine;;008;2;16.05.2019;;;1;;;;
014;;Diureesi mõõtmine;;008;2;16.05.2019;;;1;;;;
015;;INRi mõõtmine;;008;2;16.05.2019;;;1;;;;
016;;Veresuhkru mõõtmine;;008;2;16.05.2019;;;1;;;;
017;;Valu hindamine ja ennetamine;;007;1;16.05.2019;;;1;;;;
018;;Kukkumise riski hindamine ja kukkumise ennetamine;;007;1;16.05.2019;;;1;;;;
019;;Lamatiste riski hindamine ja lamatiste ennetamine;;007;1;16.05.2019;;;1;;;;
061;;Alatoitumuse riski hindamine ja toitumuse jälgimine;;007;1;28.07.2022;;;1;;;;
020;;Haiguspuhused õendustoimingud;;;0;16.05.2019;;;1;;;;
021;;Pneumoonia profülaktika;;020;1;16.05.2019;;;1;;;;
022;;Asendravi;;020;1;16.05.2019;;;1;;;;
023;;Dehüdratatsiooni ennetamine;;020;1;16.05.2019;;;1;;;;
024;;Kusepõie kateteriseerimine;;020;1;16.05.2019;;;1;;;;
025;;Püsikateetri hooldamine;;020;1;16.05.2019;;;1;;;;
026;;Klistiiri tegemine;;020;1;16.05.2019;;;1;;;;
027;;Stoomi hooldamine (vajadusel vahetamine);;020;1;16.05.2019;;;1;;;;
028;;Trahheostoomi hooldamine;;027;2;16.05.2019;;;1;;;;
029;;Epitsüstostoomi hooldamine;;027;2;16.05.2019;;;1;;;;
030;;Nefrostoomi hooldamine;;027;2;16.05.2019;;;1;;;;
031;;Urostoomi hooldamine;;027;2;16.05.2019;;;1;;;;
032;;Gastrostoomi hooldamine;;027;2;16.05.2019;;;1;;;;
033;;Jejunostoomi hooldamine;;027;2;16.05.2019;;;1;;;;
034;;Kolostoomi hooldamine;;027;2;16.05.2019;;;1;;;;
035;;Ileostoomi hooldamine;;027;2;16.05.2019;;;1;;;;
036;;Aspireerimine;;020;1;16.05.2019;;;1;;;;
037;;Perifeerse veenikanüüli paigaldamine ja hooldamine;;020;1;16.05.2019;;;1;;;;
038;;Nasogastraalsondi paigaldamine ja hooldamine;;020;1;16.05.2019;;;1;Arsti korraldusel tehtav toiming;;;
039;;Jahutavate protseduuride teostamine;;020;1;16.05.2019;;;1;;;;
040;;Soojendavate protseduuride teostamine;;020;1;16.05.2019;;;1;;;;
041;;Inhalatsiooni teostamine;;020;1;16.05.2019;;;1;;;;
042;;Haavaravi koos sidumisega;;020;1;16.05.2019;;;1;;;;
043;;Haavaõmbluste eemaldamine;;020;1;16.05.2019;;;1;Arsti korraldusel tehtav toiming;;;
044;;Hapnikravi;;020;1;16.05.2019;;;1;Arsti korraldusel tehtav toiming;;;
045;;Peritoneaaldialüüsi tegemine;;020;1;16.05.2019;;;1;Arsti korraldusel tehtav toiming;;;
046;;Suu ja silmade hooldamine;;020;1;16.05.2019;;;1;;;;
047;;Liikumisravi ja tegevusjuhendamine;;020;1;16.05.2019;;;1;;;;
048;;Enteraalne toitmine;;020;1;16.05.2019;;;1;Arsti korraldusel tehtav toiming;;;
062;;Toitelahuste manustamine;;020;1;28.07.2022;;;1;Arsti korraldusel tehtav toiming;;;
063;;Esmaabi andmine ja elustamine;;020;1;28.07.2022;;;1;;;;
064;;Surma fakti tuvastamine;;020;1;28.07.2022;;;1;;;;
049;;Isoleerimisvajadus;;020;1;16.05.2019;;;1;;;;
050;;Kontaktisolatsioon;;049;2;16.05.2019;;;1;;;;
051;;Piiskisolatsioon;;049;2;16.05.2019;;;1;;;;
052;;Õhkisolatsioon;;049;2;16.05.2019;;;1;;;;
053;;Patsiendi nõustamine;;;0;16.05.2019;;;1;;;;
054;;Õendusalane nõustamine;;053;1;16.05.2019;;;1;;;;
055;;Meditsiiniseadmete, ravimite ja abivahendite kasutamise õpetamine ja juhendamine;;053;1;16.05.2019;;;1;;;;
056;;Pereliikmete juhendamine ja õpetamine;;053;1;16.05.2019;;;1;;;;
057;;Keskkonna hindamine ja vajadusel ümberkorraldamine;;053;1;16.05.2019;;;1;;;;
