Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus;;
AD;;androloogia;;;0;16.12.2016;;;1;;;
AI;;allergoloogia-immunoloogia;;;0;16.12.2016;;;1;;;
AN;;anestesioloogia;;;0;16.12.2016;;;1;;;
DV;;dermatoveneroloogia;;;0;16.12.2016;;;1;;;
EK;;endokrinoloogia;;;0;16.12.2016;;;1;;;
GE;;gastroenteroloogia;;;0;16.12.2016;;;1;;;
HE;;hematoloogia;;;0;16.12.2016;;;1;;;
IH;;infektsioonhaigused;;;0;16.12.2016;;;1;;;
KA;;kardioloogia;;;0;16.12.2016;;;1;;;
KK;;kardiokirurgia;;;0;16.12.2016;;;1;;;
LK;;lastekirurgia;;;0;16.12.2016;;;1;;;
LM;;laborimeditsiin;;;0;16.12.2016;;;1;;;
LP;;logopeedia;;;0;16.12.2016;;;1;;;
MA;;mammoloogia;;;0;16.12.2016;;;1;;;
MG;;meditsiinigeneetika;;;0;16.12.2016;;;1;;;
NE;;neuroloogia;;;0;16.12.2016;;;1;;;
NF;;nefroloogia;;;0;16.12.2016;;;1;;;
NK;;neurokirurgia;;;0;16.12.2016;;;1;;;
OF;;oftalmoloogia ja optomeetria;;;0;16.12.2016;;;1;;;
ON;;onkoloogia;;;0;16.12.2016;;;1;;;
OR;;ortopeedia ja traumatoloogia;;;0;16.12.2016;;;1;;;
OT;;otorinolarüngoloogia;;;0;16.12.2016;;;1;;;
PE;;pediaatria;;;0;16.12.2016;;;1;;;
PL;;palliatiivravi;;;0;16.12.2016;;;1;;;
PM;;peremeditsiin;;;0;16.12.2016;;;1;;;
PP;;psühhiaatria ja psühholoogia;;;0;16.12.2016;16.03.2018;;0;;;
PR;;plastika-ja rekonstruktiivkirurgia;;;0;16.12.2016;;;1;;;
PU;;pulmonoloogia;;;0;16.12.2016;;;1;;;
RA;;radioloogia;;;0;09.11.2021;;;1;;;
RE;;reumatoloogia;;;0;16.12.2016;;;1;;;
RK;;rindkerekirurgia;;;0;16.12.2016;;;1;;;
SG;;sünnitusabi ja günekoloogia;;;0;16.12.2016;;;1;;;
SH;;suu- ja hambahaigused;;;0;30.09.2022;;;1;;;
SI;;sisehaigused;;;0;16.12.2016;;;1;;;
SN;;suu-, näo- ja lõualuukirurgia;;;0;16.12.2016;;;1;;;
SP;;spordimeditsiin;;;0;16.12.2016;;;1;;;
ST;;stomatoloogia;;;0;16.12.2016;;;1;;;
TF;;taastusravi ja füsiaatria;;;0;16.12.2016;;;1;;;
TN;;toitumisnõustamine ja kliiniline toitmine;;;0;16.12.2016;;16.03.2018;1;Täpsustati valdkonna nimetust toitumisnõustamine -> toitumisnõustamine ja kliiniline toitmine;;
TT;;töötervishoid;;;0;16.12.2016;;;1;;;
UR;;uroloogia;;;0;16.12.2016;;;1;;;
VK;;vaskulaarkirurgia;;;0;16.12.2016;;;1;;;
YK;;üldkirurgia;;;0;16.12.2016;;;1;;;
EM;;erakorraline meditsiin;;;0;26.04.2017;;;1;;;
PA;;psühhiaatria;;;0;16.03.2018;;;1;;;
PH;;psühholoogia;;;0;16.03.2018;;;1;;;
VR;;valuravi;;;0;17.05.2019;;;1;;;
LY;;lülisambakirurgia;;;0;17.05.2019;;;1;;;
JR;;järelravi;;;0;17.05.2019;;;1;;;
NM;;nukleaarmeditsiin;;;0;17.05.2019;;;1;;;
IR;;intensiivravi;;;0;17.05.2019;;;1;;;
