Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;Vastavus varasemate koodidega
E100;anestesioloogia;anestesioloogia;anestesioloogia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E19 - anestesioloogia
E110;dermatoveneroloogia;dermatoveneroloogia;dermatoveneroloogia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E44 - dermatoveneroloogia
E120;endokrinoloogia;endokrinoloogia;endokrinoloogia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E03 - endokrinoloogia
E130;erakorraline meditsiin;erakorraline meditsiin;erakorraline meditsiin;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E70 - kiirabi
E140;gastroenteroloogia;gastroenteroloogia;gastroenteroloogia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E05 - gastroenteroloogia
E150;hematoloogia;hematoloogia;hematoloogia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E07 - hematoloogia
E160;infektsioonhaigused;infektsioonhaigused;infektsioonhaigused;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E45 - nakkushaigused
E170;kardioloogia;kardioloogia;kardioloogia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E09 - kardioloogia
E180;kardiovaskulaarkirurgia;kardiovaskulaarkirurgia;kardiovaskulaarkirurgia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E26 - kardiovaskulaarkirurgia
E190;laborimeditsiin;laborimeditsiin;laborimeditsiin;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E66 - kliiniline keemia
E200;lastekirurgia;lastekirurgia;lastekirurgia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E20 - lastekirurgia
E210;nefroloogia;nefroloogia;nefroloogia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E11 - nefroloogia
E220;neurokirurgia;neurokirurgia;neurokirurgia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E21 - neurokirurgia
E230;neuroloogia;neuroloogia;neuroloogia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E38 - neuroloogia
E240;oftalmoloogia;oftalmoloogia;oftalmoloogia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E43 - oftalmoloogia
E250;onkoloogia (kiiritus- ja keemiaravi tähenduses);onkoloogia (kiiritus- ja keemiaravi tähenduses);onkoloogia (kiiritus- ja keemiaravi tähenduses);;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E52 - onkoloogia
E260;ortopeedia;ortopeedia;ortopeedia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E27 - traumatoloogia-ortopeedia
E270;otorinolarüngoloogia;otorinolarüngoloogia;otorinolarüngoloogia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E42 - otorinolarüngoloogia
E280;patoloogia;patoloogia;patoloogia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E61 - patoloogia
E290;pediaatria;pediaatria;pediaatria;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E36 - pediaatria
E300;peremeditsiin;peremeditsiin;peremeditsiin;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E16 - peremeditsiin
E310;plastika- ja rekonstruktiivkirurgia;plastika- ja rekonstruktiivkirurgia;plastika- ja rekonstruktiivkirurgia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E24 - plastikakirurgia
E320;psühhiaatria;psühhiaatria;psühhiaatria;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E49 - psühhiaatria
E330;pulmonoloogia;pulmonoloogia;pulmonoloogia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E12 - pulmonoloogia
E340;radioloogia;radioloogia;radioloogia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E62 - radioloogia
E350;reumatoloogia;reumatoloogia;reumatoloogia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E13 - reumatoloogia
E360;sisehaigused;sisehaigused;sisehaigused;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E14 - sisehaigused
