Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;;
A;Vaakumkatsutid;Vaakumkatsutid;Vaakumkatsutid;;0;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
A1;CAT katsuti;CAT katsuti;Hüübimisaktivaatoriga katsuti;A;1;01.07.2014;;16.02.2017;Eesti Laborimeditsiini Ühing;1;Punane v punane musta rõngaga;;
A2;Geeliga CAT katsuti;Geeliga CAT katsuti;Hüübimisaktivaatori ja geeliga katsuti;A;1;01.07.2014;;16.02.2017;Eesti Laborimeditsiini Ühing;1;Kollane v punane kollase rõngaga;;
A3;LH-katsuti;LH-katsuti;Liitiumhepariiniga katsuti;A;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Roheline v roheline musta rõngaga;;
A4;Geeliga LH-katsuti;Geeliga LH-katsuti;Liitiumhepariini ja geeliga katsuti;A;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Heleroheline v roheline kollase rõngaga;;
A5;NH-katsuti;NH-katsuti;Naatriumhepariiniga katsuti;A;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Roheline v roheline musta rõngaga;;
A6;AH-katsuti;AH-katsuti;Ammooniumhepariiniga katsuti;A;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Roheline v roheline musta rõngaga;;
A7;K2E/K3E-katsuti;K2E/K3E-katsuti;Etüleendiamiintetraatsetaadiga katsuti;A;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Lilla v lilla musta rõngaga;;
A17;K2E/K3E-katsuti 4 mL;K2E/K3E-katsuti 4 mL;Etüleendiamiintetraatsetaadiga katsuti 4 mL;A;1;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;Tumelilla, immuunhematoloogia analüüsid IH-500 analüsaatori jaoks;;
A8;Geeliga K2E/K3E-katsuti;Geeliga K2E/K3E-katsuti;Etüleendiamiintetraatsetaadi ja geeliga katsuti;A;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Valge v lilla kollase rõngaga;;
A9;Glükolüüsi inhibiitoriga katsuti;Glükolüüsi inhibiitoriga katsuti;Glükolüüsi inhibiitoriga katsuti;A;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Hall v hall musta rõngaga;;
A10;ACD-katsuti;ACD-katsuti;Sidrunhappe, trinaatriumtsitraadi ja dekstroosiga katsuti;A;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Helekollane v helekollane musta rõngaga;;
A11;Mikroelementide katsuti;Mikroelementide katsuti;Mikroelementide katsuti;A;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Sügavsinine v sügavsinine musta rõngaga;;
A12;9NC-katsuti;9NC-katsuti;Naatriumtsitraadiga katsuti (1:9);A;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Helesinine v helesinine musta rõngaga;;
A13;4NC-katsuti;4NC-katsuti;Naatriumtsitraadiga katsuti (1:4);A;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Must;;
A14;Lisandita katsuti;Lisandita katsuti;Lisandita katsuti;A;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Värvitu v valge musta rõngaga;;
A16;Hirudiiniga katsuti;Hirudiiniga katsuti;Hirudiiniga katsuti;A;1;12.11.2015;;;Eesti Laborimeditsiini Ühing;1;Valge punase rõngaga;;
