Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;Rühma kood;Rühm
1;statsionaarne epikriis ;statsionaarne epikriis ;statsionaarne epikriis ;;0;01.01.2008;;;Eesti E-tervise SA;1;;1;Meditsiinidokument - epikriisid
2;ambulatoorne epikriis;ambulatoorne epikriis;ambulatoorne epikriis;;0;01.01.2008;;;Eesti E-tervise SA;1;;1;Meditsiinidokument - epikriisid
3;päevaravi epikriis;päevaravi epikriis;päevaravi epikriis;;0;01.01.2008;;;Eesti E-tervise SA;1;;1;Meditsiinidokument - epikriisid
4;sünniepikriis;sünniepikriis;sünniepikriis;;0;01.01.2008;;;Eesti E-tervise SA;1;;1;Meditsiinidokument - epikriisid
5;aegkriitilised andmed;aegkriitilised andmed;aegkriitilised andmed;;0;01.01.2008;;;Eesti E-tervise SA;1;;4;Muu meditsiinidokument
6;statistika koondandmete teatis;statistika koondandmete teatis;statistika koondandmete teatis;;0;01.01.2008;;;Eesti E-tervise SA;1;;5;Statistika teatised
7;haigusjuhtumi alustamine;haigusjuhtumi alustamine;haigusjuhtumi alustamine;;0;01.01.2008;;;Eesti E-tervise SA;1;;6;Haigusjuhu teatis
8;haigusjuhtumi lõpetamine;haigusjuhtumi lõpetamine;haigusjuhtumi lõpetamine;;0;01.01.2008;;;Eesti E-tervise SA;1;;6;Haigusjuhu teatis
9;patsiendi volitus usaldusisikule;patsiendi volitus usaldusisikule;patsiendi volitus usaldusisikule;;0;01.01.2008;;;Eesti E-tervise SA;1;;7;Patsiendi koostatud dokumendid
10;koduõendusepikriis;koduõendusepikriis;koduõendusepikriis;;0;01.01.2008;16.05.2019;;Eesti E-tervise SA;1;;1;Meditsiinidokument - epikriisid
11;tervisekontrolli immuniseerimise teatis;tervisekontrolli immuniseerimise teatis;tervisekontrolli immuniseerimise teatis;;0;01.01.2008;;;Eesti E-tervise SA;1;;8;Tervisekontrolliteatised
12;tervisekontrolli kasvamise teatis;tervisekontrolli kasvamise teatis;tervisekontrolli kasvamise teatis;;0;01.01.2008;;;Eesti E-tervise SA;1;;8;Tervisekontrolliteatised
13;tervisekontrolli läbivaatuse teatis;tervisekontrolli läbivaatuse teatis;tervisekontrolli läbivaatuse teatis;;0;01.01.2008;;;Eesti E-tervise SA;1;;8;Tervisekontrolliteatised
14;tervisekontrolli arengu hindamise teatis;tervisekontrolli arengu hindamise teatis;tervisekontrolli arengu hindamise teatis;;0;01.01.2008;;;Eesti E-tervise SA;1;;8;Tervisekontrolliteatised
15;tervisekontrolli nõustamise teatis;tervisekontrolli nõustamise teatis;tervisekontrolli nõustamise teatis;;0;01.01.2008;;;Eesti E-tervise SA;1;;8;Tervisekontrolliteatised
16;tervisekontrolli immuniseerimise kõrvalnähtude teatis;tervisekontrolli immuniseerimise kõrvalnähtude teatis;tervisekontrolli immuniseerimise kõrvalnähtude teatis;;0;01.01.2008;;;Eesti E-tervise SA;1;;8;Tervisekontrolliteatised
17;tervisekontrolli kaart;tervisekontrolli kaart;tervisekontrolli kaart;;0;01.01.2008;;;Eesti E-tervise SA;1;;9;Algandmete alusel koostatud kaardid
17.1;tegevuste lõikes;tegevuste lõikes;tegevuste lõikes;;1;02.01.2008;;;Eesti E-tervise SA;1;;9;Algandmete alusel koostatud kaardid
17.2 ;vanusegruppide lõikes;vanusegruppide lõikes;vanusegruppide lõikes;;1;03.01.2008;;;Eesti E-tervise SA;1;;9;Algandmete alusel koostatud kaardid
29305-0;retsept;retsept;retsept;;0;01.01.2010;;;Eesti E-tervise SA;1;;10;Retseptid
18;tahteavaldused;tahteavaldused;tahteavaldused;;0;01.01.2008;;;Eesti E-tervise SA;1;;7;Patsiendi koostatud dokumendid
18.1;nõusolek loovutada surmajärgselt kudesid või elundeid siirdamiseks;nõusolek loovutada surmajärgselt kudesid või elundeid siirdamiseks;nõusolek loovutada surmajärgselt kudesid või elundeid siirdamiseks;18;1;01.01.2008;;;Eesti E-tervise SA;1;;7;Patsiendi koostatud dokumendid
