Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;
H01;Vaimse arengu mahajäämus ;Vaimse arengu mahajäämus ;Vaimse arengu mahajäämus ;;0;19.04.2018;;;ELMÜ;1;;
H02;Epilepsia ;Epilepsia ;Epilepsia ;;0;19.04.2018;;;ELMÜ;1;;
H03;Ainevahetushaigused ;Ainevahetushaigused ;Ainevahetushaigused ;;0;19.04.2018;;;ELMÜ;1;;
H04;Mitokondriaalsed haigused ;Mitokondriaalsed haigused ;Mitokondriaalsed haigused ; ;0;19.04.2018;;;ELMÜ;1;;
H05;Lihashaigused ;Lihashaigused ;Lihashaigused ;;0;19.04.2018;;;ELMÜ;1;;
H06;Kuulmislangus ;Kuulmislangus ;Kuulmislangus ;;0;19.04.2018;;;ELMÜ;1;;
H07;Silmahaigused ;Silmahaigused ;Silmahaigused ;;0;19.04.2018;;;ELMÜ;1;;
H08;Skeletidüsplaasiad ;Skeletidüsplaasiad ;Skeletidüsplaasiad ;;0;19.04.2018;;;ELMÜ;1;;
H09;Ehlers-Danlosi sündroom ja sidekoehaigused ;Ehlers-Danlosi sündroom ja sidekoehaigused ;Ehlers-Danlosi sündroom ja sidekoehaigused ; ;0;19.04.2018;;;ELMÜ;1;;
H10;Marfaini sündroom ja perekondlik aordi aneurüsm ;Marfaini sündroom ja perekondlik aordi aneurüsm ;Marfaini sündroom ja perekondlik aordi aneurüsm ; ;0;19.04.2018;;;ELMÜ;1;;
H11;Südame rütmihäired ;Südame rütmihäired ;Südame rütmihäired ;;0;19.04.2018;;;ELMÜ;1;;
H12;Kardiomüopaatiad ;Kardiomüopaatiad ;Kardiomüopaatiad ;;0;19.04.2018;;;ELMÜ;1;;
H13;Aneemiad ;Aneemiad ;Aneemiad ;;0;19.04.2018;;;ELMÜ;1;;
H14;Hüübimishäired ;Hüübimishäired ;Hüübimishäired ;;0;19.04.2018;;;ELMÜ;1;;
H15;Pärilik spastiline parapleegia ;Pärilik spastiline parapleegia ;Pärilik spastiline parapleegia ;;0;19.04.2018;;;ELMÜ;1;;
H16;Charcot-Marie-Toothi tõbi ja neuropaatiad ;Charcot-Marie-Toothi tõbi ja neuropaatiad ;Charcot-Marie-Toothi tõbi ja neuropaatiad ; ;0;19.04.2018;;;ELMÜ;1;;
H17;Leukodüstroofiad ;Leukodüstroofiad ;Leukodüstroofiad ;;0;19.04.2018;;;ELMÜ;1;;
H18;Pärilikud ataksiad ;Pärilikud ataksiad ;Pärilikud ataksiad ;;0;19.04.2018;;;ELMÜ;1;;
H19;Düstoonia  ;Düstoonia  ;Düstoonia  ;;0;19.04.2018;;;ELMÜ;1;;
H20;Parkinsoni tõbi ja parkinsonistlikud sündroomid ;Parkinsoni tõbi ja parkinsonistlikud sündroomid ;Parkinsoni tõbi ja parkinsonistlikud sündroomid ; ;0;19.04.2018;;;ELMÜ;1;;
H21;Dementsus  ;Dementsus  ;Dementsus  ;;0;19.04.2018;;;ELMÜ;1;;
H22;Monogeenne diabeet ;Monogeenne diabeet;Monogeenne diabeet;;0;19.04.2018;;;ELMÜ;1;;
H23;Sugulise arengu häired ;Sugulise arengu häired ;Sugulise arengu häired ;;0;19.04.2018;;;ELMÜ;1;;
H24;Muu - täpsusta geenid;Muu - täpsusta geenid;Muu - täpsusta geenid;;0;19.04.2018;;;ELMÜ;1;;
H25;Hüpogonadotroopne hüpogonadism sh Kallmanni sündroom;Hüpogonadotroopne hüpogonadism sh Kallmanni sündroom;Hüpogonadotroopne hüpogonadism sh Kallmanni sündroom;;0;13.09.2022;;;ELMÜ;1;versioonis 2 lisatud;
H26;Primaarne immuunpuudulikkus;Primaarne immuunpuudulikkus;Primaarne immuunpuudulikkus;;0;13.09.2022;;;ELMÜ;1;versioonis 2 lisatud;
H27;Insuldi eelsoodumus;Insuldi eelsoodumus;Insuldi eelsoodumus;;0;13.09.2022;;;ELMÜ;1;versioonis 2 lisatud;
H28;Munandi arenguhäired;Munandi arenguhäired;Munandi arenguhäired;;0;28.03.2023;;;ELMÜ;1;versioonis 3 lisatud;
H29;Neeruhaigused;Neeruhaigused;Neeruhaigused;;0;28.03.2023;;;ELMÜ;1;versioonis 3 lisatud;
