Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus (tõlge kasutusel piiriülese digiretsepti edastamisel)
A;korda aastas;korda aastas;korda aastas;;0;01.01.2010;12.01.2016;;Haigekassa;0;Väärtus on määratud kehtetuks
AA;korda aastas;korda aastas;korda aastas;;0;01.01.2010;12.01.2016;;Haigekassa;0;Väärtus on määratud kehtetuks
AM;ampull;ampull;ampull;;0;01.01.2010;;;SOM;1;ampoule(s)
AN;annus;annus;annus;;0;01.01.2010;;;SOM;1;dosage(s)
KO;komplekt;komplekt;komplekt;;0;01.01.2010;;;SOM;1;kit(s)
KK;korda kuus;korda kuus;korda kuus;;0;01.01.2010;12.01.2016;;Haigekassa;0;Väärtus on määratud kehtetuks
KV;korda kvartalis;korda kvartalis;korda kvartalis;;0;01.01.2010;12.01.2016;;Haigekassa;0;Väärtus on määratud kehtetuks
MG;milligramm;milligramm;milligramm;;0;01.01.2010;;;SOM;1;milligram(s)
ML;milliliiter;milliliiter;milliliiter;;0;01.01.2010;;;SOM;1;milliliter(s)
PI;pidev;pidev;pidev;;0;01.01.2010;12.01.2016;;Haigekassa;0;Väärtus on määratud kehtetuks
PV;korda päevas;korda päevas;korda päevas;;0;01.01.2010;12.01.2016;;Haigekassa;0;Väärtus on määratud kehtetuks
SP;supilusikas;supilusikas;supilusikas;;0;01.01.2010;;12.01.2016;Haigekassa;1;tablespoon(s)
TA;tablett;tablett;tablett;;0;01.01.2010;;;SOM;1;tablet(s)
TI;tilk;tilk;tilk;;0;01.01.2010;;;SOM;1;drop(s)
TK;tükk;tükk;tükk;;0;01.01.2010;;12.01.2016;Haigekassa;1;piece(s)
TL;teelusikas;teelusikas;teelusikas;;0;01.01.2010;;12.01.2016;Haigekassa;1;teaspoon(s)
TU;tund;tund;tund;;0;01.01.2010;12.01.2016;;Haigekassa;0;Väärtus on määratud kehtetuks
TY;toimaine ühik;toimaine ühik;toimaine ühik;;0;01.01.2010;;;SOM;1;unit(s)
WK;nädalas;nädalas;nädalas;;0;01.01.2010;12.01.2016;;Haigekassa;0;Väärtus on määratud kehtetuks
YH;ühik;ühik;ühik;;0;01.01.2010;;;SOM;1;unit(s)
MI;mikrogramm;mikrogramm;mikrogramm;;0;12.01.2016;;;Haigekassa;1;microgram(s)
CP;kapsel;kapsel;kapsel;;0;12.01.2016;;;Haigekassa;1;capsule(s)
CM;sentimeeter;sentimeeter;sentimeeter;;0;12.01.2016;;;Haigekassa;1;centimeter(s)
G;gramm;gramm;gramm;;0;12.01.2016;;;Haigekassa;1;gram(s)
SY;süstal;süstal;süstal;;0;12.01.2016;;;Haigekassa;1;injection syringe(s)
SO;sõrmeotsaühik;sõrmeotsaühik;sõrmeotsaühik;;0;12.01.2016;;;Haigekassa;1;fingertip unit(s)
PU;pihustus;pihustus;pihustus;;0;12.01.2016;31.03.2023;;Tervisekassa;0;"Väärtus on määratud kehtetuks. Asendatud mõistega ""mõõtannus"""
MA;mõõtannus;mõõtannus;mõõtannus;;0;31.03.2023;;;Tervisekassa;1;actuation(s)
