Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus;Teenusele vastava eriala kood;Teenusele vastava eriala nimetus
AAD001;;meestearsti vastuvõtt;;;0;16.12.2016;;;1;;E410;uroloogia
AAD002;;meestearsti vastuvõtt (viljatus);;;0;16.12.2016;;;1;;E410;uroloogia
AAD003;;meestearsti vastuvõtt (toitumisnõustamine);;;0;16.12.2016;22.12.2020;;1;;E410;uroloogia
AAD004;;õe vastuvõtt androloogia erialal;;;0;16.12.2016;;;1;;N500;õde
AAD005;;meestearsti vastuvõtt (noorte seksuaaltervis);;;0;18.04.2022;;;1;;E410;uroloogia
AAI001;;allergoloogi vastuvõtt;;;0;16.12.2016;;;1;;E640;sisehaigused – allergoloogia
AAI002;;laste allergoloogi vastuvõtt;;;0;16.12.2016;;;1;;E670;pediaatria – allergoloogia
AAI003;;õe vastuvõtt allergoloogia erialal;;;0;16.12.2016;;;1;;N500;õde
AAI004;;allergoloogi-immunoloogi vastuvõtt;;;0;16.12.2016;;;1;;E470;allergoloogia-immunoloogia
AAI005;;õe vastuvõtt allergoloogia-immunoloogia erialal;;;0;16.12.2016;;;1;;N500;õde
AAN001;;anestesioloogi vastuvõtt (operatiivravi);;;0;16.12.2016;;;1;;E100;anestesioloogia
AAN002;;õe vastuvõtt anesteesia erialal (valuravi);;;0;16.12.2016;;;1;;N110;anesteesia-intensiivraviõendus
AAN003;;anestesioloogi vastuvõtt (valuravi);;;0;16.12.2016;;;1;;E100;anestesioloogia
AAN004;;anestesioloogi vastuvõtt (valuravi, onkoloog);;;0;16.12.2016;;;1;;E100;anestesioloogia
ADV001;;naha-ja suguhaiguste arsti vastuvõtt;;;0;16.12.2016;;;1;;E110;dermatoveneroloogia
ADV002;;laste nahaarsti vastuvõtt;;;0;16.12.2016;;;1;;E110;dermatoveneroloogia
ADV003;;õe vastuvõtt naha-ja suguhaiguste erialal;;;0;16.12.2016;;;1;;N500;õde
ADV004;;õe vastuvõtt naha-ja suguhaiguste erialal (krüoteraapia);;;0;16.12.2016;;;1;;N500;õde
ADV005;;nahaarsti vastuvõtt (nahakasvajad);;;0;16.12.2016;;;1;;E110;dermatoveneroloogia
ADV006;;naha-ja suguhaiguste arsti vastuvõtt (sünnimärkide kaardistamine);;;0;22.12.2020;;;1;;E110;dermatoveneroloogia
ADV007;;õe vastuvõtt naha-ja suguhaiguste erialal (lapsed, krüoteraapia);;;0;14.12.2022;;;1;;N500;õde
AEK001;;endokrinoloogi vastuvõtt;;;0;16.12.2016;;;1;;E120;endokrinoloogia
AEK002;;laste endokrinoloogi vastuvõtt;;;0;16.12.2016;;;1;;E680;pediaatria – endokrinoloogia
AEK003;;endokrinoloogi vastuvõtt (rasedad);;;0;16.12.2016;;;1;;E120;endokrinoloogia
AEK004;;õe vastuvõtt endokrinoloogia erialal;;;0;16.12.2016;;;1;;N500;õde
AEK005;;õe vastuvõtt endokrinoloogia erialal (jalaravi);;;0;16.12.2016;;;1;;N210;diabeediõendus
AEK006;;õe vastuvõtt endokrinoloogia erialal (diabeet);;;0;16.12.2016;;;1;;N210;diabeediõendus
AEK007;;õe vastuvõtt endokrinoloogia erialal (toitumisnõustamine);;;0;16.12.2016;22.12.2020;03.03.2017;1;;N500;õde
AEK008;;õe vastuvõtt endokrinoloogia erialal (lapsed);;;0;16.12.2016;;;1;;N220;lasteõendus
AEK009;;endokrinoloogi vastuvõtt (diabeet);;;0;22.12.2020;;;1;;E120;endokrinoloogia
AEM001;;info saatmine erakorralise meditsiini osakonnale;;;0;26.04.2017;;;1;;;
AGE001;;gastroenteroloogi vastuvõtt;;;0;16.12.2016;;;1;;E140;gastroenteroloogia
AGE002;;laste gastroenteroloogi vastuvõtt;;;0;16.12.2016;;;1;;E690;pediaatria – gastroenteroloogia
AGE003;;õe vastuvõtt gastroenteroloogia erialal;;;0;16.12.2016;;;1;;N500;õde
AGE004;;õe vastuvõtt gastroenteroloogia erialal (soolehaigus);;;0;22.12.2020;;;1;;N500;õde
AGE005;;õe vastuvõtt gastroenteroloogia erialal (maksahaigus);;;0;22.12.2020;;;1;;N500;õde
AHE001;;hematoloogi vastuvõtt;;;0;16.12.2016;;;1;;E150;hematoloogia
AHE002;;hematoloogi vastuvõtt (pärilik vähk);;;0;16.12.2016;;;1;;E150;hematoloogia
AHE003;;laste hematoloogi-onkoloogi vastuvõtt;;;0;16.12.2016;;;1;;E700;pediaatria – hematoloogia-onkoloogia
AHE004;;õe vastuvõtt hematoloogia erialal;;;0;16.12.2016;;;1;;N500;õde
AHE005;;hematoloogi vastuvõtt (hüübivushäired);;;0;16.12.2016;;;1;;E150;hematoloogia
AHE006;;õe vastuvõtt hematoloogia erialal (hüübivushäired);;;0;16.12.2016;;;1;;N500;õde
AHE007;;õe vastuvõtt hematoloogia erialal (müeloom);;;0;16.12.2016;;;1;;N240;onkoloogiaõendus
AHV001;;Hambaarsti videovastuvõtt;;;0;03.03.2023;;;1;;E430;hambaarst
AIH001;;infektsionisti vastuvõtt;;;0;16.12.2016;;;1;;E160;infektsioonhaigused
AIH002;;laste infektsionisti vastuvõtt;;;0;16.12.2016;;;1;;E710;pediaatria – infektsioonhaigused
AIH003;;õe vastuvõtt infektsioonhaiguste erialal;;;0;16.12.2016;;;1;;N230;nakkustõrjeõendus
AIH004;;õe vastuvõtt infektsioonhaiguste erialal (HIV);;;0;16.12.2016;;;1;;N230;nakkustõrjeõendus
AIH005;;infektsionisti vastuvõtt (reisimeditsiin);;;0;16.12.2016;;;1;;E160;infektsioonhaigused
AIH006;;õe vastuvõtt infektsioonhaiguste erialal (reisimeditsiin);;;0;16.12.2016;;;1;;N230;nakkustõrjeõendus
AIH007;;infektsionisti vastuvõtt (immuniseerimine);;;0;22.12.2020;;;1;;E160;infektsioonhaigused
AIH008;;õe vastuvõtt infektsioonhaiguste erialal (immuniseerimine);;;0;22.12.2020;;;1;;N230;nakkustõrjeõendus
