Üle vaadatud (Johannes),import,review,base_url pubkeskus,standard_id pubkeskus,id-url,id-length,name,title,Title changed,description (valueset),CS.codingPrinciples,VS.changeManagement,oid,void,publisher,email,www,endorser,versioningAlgorithm,version_number,semver_version_number,released,last_csv_id,link,createCS,supplement,createVS,VSbasedOn,columns,map,VSproperties,TermXCS,TermXVS,Errors/Problems,content_2rows
TRUE,5,OK,Abivahendid funktsioonide toetamiseks,36430,abivahendid-funktsioonide-toetamiseks,37,AbivahendidFunktsioonideToetamiseks,Abivahendid funktsioonide toetamiseks,,Klassifikaatorit kasutatakse patsiendi funktsioone toetavate abivahendite dokumenteerimiseks,,,1.3.6.1.4.1.28284.6.2.1.304,1.3.6.1.4.1.28284.6.2.1.304.1,TEHIK,andmekorraldus@tehik.ee,https://tehik.ee/,-,integer,1,1.0.0,2016-07-01,36433,https://raw.githubusercontent.com/TEHIK-EE/terminology-migration/main/pubkeskus/pub-data/files/36433.csv,1,-,1,-,Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus,"Kood=concept-code,
Nimetus=display|et,
",,https://termx.kodality.dev/resources/code-systems/abivahendid-funktsioonide-toetamiseks/versions/1/concepts,https://termx.kodality.dev/resources/value-sets/abivahendid-funktsioonide-toetamiseks/versions/1/summary,"Concept has no active version;
VS-il puudub OID","Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus\r
A;positiivrõhuaparaat (CPAP) või mitteinvasiivse ventilatsiooni seade;positiivrõhuaparaat (CPAP) või mitteinvasiivse ventilatsiooni seade;;;0;1.07.2016;;;1;\r
B;intraoraalne uneapnoe seade;intraoraalne uneapnoe seade;;;0;1.07.2016;;;1;"
TRUE,5,OK,Abivahendid ja meditsiiniseadmed,47013,abivahendid-ja-meditsiiniseadmed,32,AbivahendidJaMeditsiiniseadmed,Abivahendid ja meditsiiniseadmed,0,"Loendit kasutatakse õendusabiteenuse dokumentidel, et kirjeldada abivahendeid ja meditsiiniseadmeid, mida patsient kasutab. Põhineb SNOMED CT-l.",,,1.3.6.1.4.1.28284.6.2.1.321,1.3.6.1.4.1.28284.6.2.1.321.4,TEHIK,andmekorraldus@tehik.ee,https://tehik.ee/,TEHIK,integer,4,4.0.0,2023-05-30,67081,https://raw.githubusercontent.com/TEHIK-EE/terminology-migration/main/pubkeskus/pub-data/files/67081.csv,1,SNOMED-EE,1,SNOMED-EE,Kood;Lühinimetus;Nimetus;Pikk_nimetus (SNOMED CT FSN);Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus,"Selgitus=comment,
Kood=concept-code,
Vanem_kood=groupedBy,
Kehtivuse_lõpu_kpv=retirementDate,
Nimetus=display|et,
Staatus=status,
Kehtivuse_alguse_kpv=effectiveDate,
",groupedBy,https://termx.kodality.dev/resources/code-systems/abivahendid-ja-meditsiiniseadmed/versions/4/concepts,https://termx.kodality.dev/resources/value-sets/abivahendid-ja-meditsiiniseadmed/versions/4/summary,"Kui migreerime ainult VS, kas siis on vaja kuupäevi ja staatuseid map veergu?
JH: Hetkel migreeritud 5 aegnunud ja asendatud koodi (Lamatisepadi, käimislaud, lisahapnik, kaitsepüksid ja muu). 
Value setil puudu nii juur- kui ka versiooni OID","Kood;Lühinimetus;Nimetus;Pikk_nimetus (SNOMED CT FSN);Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus\r
257192006;;Nägemist toetav vahend;Aid to vision (physical object);;0;16.05.2019;;30.11.2022;1;Muudetud nimetust Nägemist toetav -> Nägemist toetav vahend\r
50121007;;Prillid;Eye glasses, device (physical object);257192006;1;16.05.2019;;;1;"
TRUE,5,OK,ABO veregrupp,203,abo-veregrupp,13,ABOVeregrupp,ABO veregrupp,,"ABO veregrupi määravad patsiendi erütrotsüütide pinnal olevad A, B, H antigeenid ning vereplasmas sisalduvad antikehad anti-A ja anti-B. Põhineb SNOMED CT-l. ",,,1.3.6.1.4.1.28284.6.2.1.29,1.3.6.1.4.1.28284.6.2.1.29.4,TEHIK,andmekorraldus@tehik.ee,https://tehik.ee/,Eesti Laborimeditsiini Ühing,integer,4,4.0.0,2021-05-31,49009,https://raw.githubusercontent.com/TEHIK-EE/terminology-migration/main/pubkeskus/pub-data/files/49009.csv,0,-,1,SNOMED-EE,Kood;Lühinimetus;Nimetus;Pikk_nimetus (SNOMED CT FSN);Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus,"Kood=concept-code,
Nimetus=display
",,https://termx.kodality.dev/resources/code-systems/abo-veregrupp/versions/4/concepts,https://termx.kodality.dev/resources/value-sets/abo-veregrupp/versions/4/summary,"Ühel mõistel on staatus 1, aga kehtivuse lõpu kuupäev märgitud. Migreerimisel on valdavalt mõistlik võtta aluseks kehtivuse lõpu kuupäev (võib ka teha lisakontrolli, et kas vastab staatusele).
Aegnud kood migreeritud ""selguseta"".
Versiooni OID puudu VS-il","Kood;Lühinimetus;Nimetus;Pikk_nimetus (SNOMED CT FSN);Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus\r
112144000;A;A veregrupp;Blood group A (finding);;0;28.03.2019;;;Eesti Laborimeditsiini Ühing;1;\r
112149005;B;B veregrupp;Blood group B (finding);;0;28.03.2019;;;Eesti Laborimeditsiini Ühing;1;"
TRUE,0,NOK,AIDS indikaatorhaigused,16949,aids-indikaatorhaigused,23,AIDSIndikaatorhaigused,AIDS indikaatorhaigused,,"NAKIS. AIDS indikaatorhaigused - Terviseameti poolt koostatud AIDS-iga sageli kaasnevate haiguste loetelu. Mõisted on kasutusel AIDS teatisel, omab tähendust abimaterjalina. ",,,1.3.6.1.4.1.28284.6.2.1.276,1.3.6.1.4.1.28284.6.2.1.276.2,TEHIK,andmekorraldus@tehik.ee,https://tehik.ee/,Terviseamet,integer,2,2.0.0,2019-08-01,47345,https://raw.githubusercontent.com/TEHIK-EE/terminology-migration/main/pubkeskus/pub-data/files/47345.csv,0,-,1,SNOMED-EE,Kood;Lühinimetus;Nimetus;Pikk_nimetus (SNOMED CT FSN);Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus,"Kood=concept-code,
Nimetus=display|et,",,https://termx.kodality.dev/resources/code-systems/aids-indikaatorhaigused/versions/2/concepts,https://termx.kodality.dev/resources/value-sets/aids-indikaatorhaigused/versions/2/summary,"Vaja korralikult SNOMEDi peale ümber teha. Vajadusel property lisatingimuste kohta (kestus, vanus, sagedus).;
","Kood;Lühinimetus;Nimetus;Pikk_nimetus (SNOMED CT FSN);Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus\r
421283008;;Aju primaarne lümfoom;Primary lymphoma of brain associated with acquired immunodeficiency syndrome (disorder);;;01.01.2011;;01.08.2019;Terviseamet;1;\r
421666009;;Aju toksoplasmoos (lastel ?1 kuu vanustel);Toxoplasmosis associated with acquired immunodeficiency syndrome (disorder);;;01.01.2011;01.08.2019;;Terviseamet;0;Versioonis 2 tunnistatud kehtetuks, seda asendab 771126002 Infection caused by Toxoplasma gondii co-occurrent with acquired immunodeficiency syndrome (disorder)"
TRUE,0,,Ambulatoorsed vastuvõtud,36396,ambulatoorsed-vastuvotud,24,AmbulatoorsedVastuvotud,Ambulatoorsed vastuvõtud,,Ambulatoorsete vastuvõttude loendit kasutatakse patsiendile ambulatoorse vastuvõtu tellimiseks,,,1.3.6.1.4.1.28284.6.2.1.293,1.3.6.1.4.1.28284.6.2.1.293.22,TEHIK,andmekorraldus@tehik.ee,https://tehik.ee/,-,integer,22,22.0.0,2023-08-15,67355,https://raw.githubusercontent.com/TEHIK-EE/terminology-migration/main/pubkeskus/pub-data/files/67355.csv,,-,,-,Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus;Teenusele vastava eriala kood;Teenusele vastava eriala nimetus,"Selgitus=comment,
Kood=concept-code,
Vanem_kood=parent,
Teenusele vastava eriala nimetus=N/A,
Teenusele vastava eriala kood=N/A,
Kehtivuse_lõpu_kpv=retirementDate,
Pikk_nimetus=definition|et,
Nimetus=display|et,
Staatus=status,
Kehtivuse_alguse_kpv=effectiveDate,
Lühinimetus=synonym",,https://termx.kodality.dev/resources/code-systems/ambulatoorsed-vastuvotud/versions/22/concepts,https://termx.kodality.dev/resources/value-sets/ambulatoorsed-vastuvotud/versions/22/summary,Uus versioon 19.10,"Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus;Teenusele vastava eriala kood;Teenusele vastava eriala nimetus\r
AAD001;;meestearsti vastuvõtt;;;0;16.12.2016;;;1;;E410;uroloogia\r
AAD002;;meestearsti vastuvõtt (viljatus);;;0;16.12.2016;;;1;;E410;uroloogia"
TRUE,5,OK,Anamneesi vanusegrupp,12481,anamneesi-vanusegrupp,21,AnamneesiVanusegrupp,Anamneesi vanusegrupp,,"Vanusegrupid. Kui vanusegrupp on määratud, siis läheb anamnees lapse tervishoiukaardile vastavasse vanusegruppi. Seotud ravijuhendiga ""Lapse tervise jälgimise juhend"".",,Vastavalt seadusandluse muudatustele.,1.3.6.1.4.1.28284.6.2.1.36,1.3.6.1.4.1.28284.6.2.1.36.1,TEHIK,andmekorraldus@tehik.ee,https://tehik.ee/,Sotsiaalministeerium,integer,1,1.0.0,2008-01-01,12483,https://raw.githubusercontent.com/TEHIK-EE/terminology-migration/main/pubkeskus/pub-data/files/12483.csv,1,-,1,-,Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus,"Kood=concept-code,
Pikk_nimetus=definition|et,
Nimetus=display|et,
Lühinimetus=synonym,
Kehtivuse_alguse_kpv=effectiveDate",,https://termx.kodality.dev/resources/code-systems/anamneesi-vanusegrupp/versions/1/concepts,https://termx.kodality.dev/resources/value-sets/anamneesi-vanusegrupp/versions/1/summary,"Vanusegruppide loenditel oli mingi viga, mille menetlus kestis pikalt ja jäi seisma. Vaja kõik üle vaadata. Migreerimist ei sega.
Kehtivuse algus ei ole teada, vähemalt xls failis (?)
concept has no active version","Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus\r
1p;1p;1 päev;1 päev;;;1.01.2008;;;Sotsiaalministeerium;1;\r
1n;1n;1 nädal;1 nädal;;;1.01.2008;;;Sotsiaalministeerium;1;"
TRUE,0,NOK,Andmekogu vastutav töötleja,12530,andmekogu-vastutav-tootleja,27,AndmekoguVastutavTootleja,Andmekogu vastutav töötleja,,Tervise Infosüsteemis määratud patsiendi üldandmete pärimise allikad. Andmekogudest pärit patsiendi üldandmete korral on vastutajaks asutuseks haldaja ehk volitatud töötleja.,Koodiks on asutuse äriregistri kood,,1.3.6.1.4.1.28284.6.2.3.20,1.3.6.1.4.1.28284.6.2.3.20.1,TEHIK,andmekorraldus@tehik.ee,https://tehik.ee/,TEHIK,integer,1,1.0.0,2008-01-01,13182,https://raw.githubusercontent.com/TEHIK-EE/terminology-migration/main/pubkeskus/pub-data/files/13182.csv,1,-,1,-,KOOD;LÜHINIMETUS;NIMETUS;PIKK_NIMETUS;VANEM_KOOD;HIERARHIA_ASTE;KEHTIVUSE_ALGUSE_KPV;KEHTIVUSE_LÕPU_KPV;VIIMANE_MUUDATUS_KPV;MUUTJA;STAATUS;SELGITUS,"NIMETUS=display|et,
KOOD=concept-code,
SELGITUS=comment",,https://termx.kodality.dev/resources/code-systems/andmekogu-vastutav-tootleja/versions/1/concepts,https://termx.kodality.dev/resources/value-sets/andmekogu-vastutav-tootleja/versions/1/summary,"Selgelt aegunud loend, kas seda on vaja?","KOOD;LÜHINIMETUS;NIMETUS;PIKK_NIMETUS;VANEM_KOOD;HIERARHIA_ASTE;KEHTIVUSE_ALGUSE_KPV;KEHTIVUSE_LÕPU_KPV;VIIMANE_MUUDATUS_KPV;MUUTJA;STAATUS;SELGITUS\r
10264823;Andmevara AS;Andmevara AS;Andmevara AS;0;0;1.01.2008;;;Eesti E-tervise SA;1;Rahvastikuregister\r
74000091;Eesti haigekassa;Eesti haigekassa;Eesti haigekassa;0;0;1.01.2008;;;Eesti E-tervise SA;1;Kindlustatute register"
TRUE,4,OK,Andmevaaturi alaliste diagnooside filter,49752,andmevaatur-alalised-diagnoosid,31,AndmevaaturAlalisedDiagnoosid,Andmevaaturi alaliste diagnooside filter,,"Diagnooside filtri nimekiri sisaldab RHK-10 diagnoose, mis on defineeritud kui Andmevaaturi rakenduse jaoks olulised alalised diagnoosid. Loodud otsusetoe rakenduse EBMEDS RHK-10 diagnooside filtri alusel.",,,1.3.6.1.4.1.28284.6.2.1.366,1.3.6.1.4.1.28284.6.2.1.366.1,TEHIK,andmekorraldus@tehik.ee,https://tehik.ee/,TEHIK,integer,1,1.0.0,2022-04-22,49756,https://raw.githubusercontent.com/TEHIK-EE/terminology-migration/main/pubkeskus/pub-data/files/49756.csv,0,-,1,RHK10-EE,ebMEDsi loendis olev kood;RHK-10 eestikeelne nimetus,"ebMEDsi loendis olev kood=concept-code,
RHK-10 eestikeelne nimetus=display",,https://termx.kodality.dev/resources/code-systems/andmevaatur-alalised-diagnoosid/versions/1/concepts,https://termx.kodality.dev/resources/value-sets/andmevaatur-alalised-diagnoosid/versions/1/summary,"Concept M89.80 is not present in rhk10 CodeSystem
Versiooni OID puudu VS-il","ebMEDsi loendis olev kood;RHK-10 eestikeelne nimetus\r
;\r
A15;Bakterioloogiliselt ja histoloogiliselt kinnitatud hingamiselundite tuberkuloos"
FALSE,0,,Andmevaaturi antropomeetriliste näitajate normid,49779,andmevaaturi-antropomeetriliste-naitajate-normid,48,AndmevaaturiAntropomeetrilisteNaitajateNormid,Andmevaaturi antropomeetriliste näitajate normid,,"Andmevaaturi antropomeetriliste näitajate normide nimekiri sisaldab sõltuvalt laste vanusest ja soost erinevate antropomeetriliste näitajate normide piire. Kasutatakse Andmevaaturis antropomeetriliste näitajate graafikute kuvamisel.

Andmevaaturi antropomeetriliste näitajate normide loend on loodud Tallinna Lastehaiglas kasutatavate antropomeetriliste näitajate normide alusel. 
https://www.lastehaigla.ee/public/infotekstid/Juhend_tervishoiutootajale_ulekaalulise_lapse_hindamiseks__Suurorg_L_2017.pdf",,,1.3.6.1.4.1.28284.6.2.1.367,1.3.6.1.4.1.28284.6.2.1.367.2,TEHIK,andmekorraldus@tehik.ee,https://tehik.ee/,-,integer,2,2.0.0,2022-06-27,66262,https://raw.githubusercontent.com/TEHIK-EE/terminology-migration/main/pubkeskus/pub-data/files/66262.csv,,-,,-,Vanus (kuudes);Norm;Sugu;Graafik (vanus);Graafik (tyyp);Tsentiil,"Sugu=N/A,
Graafik (tyyp)=N/A,
Graafik (vanus)=N/A,
Vanus (kuudes)=N/A,
Norm=N/A,
Tsentiil=N/A",,https://termx.kodality.dev/resources/code-systems/andmevaaturi-antropomeetriliste-naitajate-normid/versions/2/concepts,https://termx.kodality.dev/resources/value-sets/andmevaaturi-antropomeetriliste-naitajate-normid/versions/2/summary,Ei ole tegelikult loend?,"Vanus (kuudes);Norm;Sugu;Graafik (vanus);Graafik (tyyp);Tsentiil\r
0;2,6;P;alla 2a;mass;3\r
1;3,5;P;alla 2a;mass;3"
TRUE,5,Rutt,Anesteesia liigid,1450,anesteesia-liigid,17,AnesteesiaLiigid,Anesteesia liigid,,"Võimalikud anesteesia liigid: üldanesteesia, regionaalanesteesia (koos sedatsiooniga või ilma), ainult sedatsioon (i/v või i/m), mis omakorda jagunevad 3. tasemesse.",,,,.1,TEHIK,andmekorraldus@tehik.ee,https://tehik.ee/,Eesti Anestesioloogide Selts,integer,1,1.0.0,2019-11-07,29292,https://raw.githubusercontent.com/TEHIK-EE/terminology-migration/main/pubkeskus/pub-data/files/29292.csv,1,-,1,-,Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus,"Kood=concept-code,
Nimetus=display|et,
Vanem_kood=parent,
Staatus=status",parent,https://termx.kodality.dev/resources/code-systems/anesteesia-liigid/versions/1/concepts,https://termx.kodality.dev/resources/value-sets/anesteesia-liigid/versions/1/summary,"failil on olemas identifier väli, kuhu peaks OID minema, kuid oidi väärtust lisatud ei ole (CS ja VS);
concept has no active version","Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus\r
1.;üldanesteesia;üldanesteesia;üldanesteesia;;;01.01.2013;;;Eesti Anestesioloogide Selts;1;\r
1.1.;endotrahheaalne  anesteesia (intub. toru, trahheostoomia);endotrahheaalne  anesteesia (intub. toru, trahheostoomia);endotrahheaalne  anesteesia (intub. toru, trahheostoomia);1.;1;01.01.2013;;;Eesti Anestesioloogide Selts;1;"
